tweets_Date,tweets_Text,tweets_Replies,tweets_Retweets,tweets_Likes,tweets_Images,tweets_imageURL,tweets_hrefURL,has_image,has_Link
Sep 30,"Initial reports suggest three rockets struck a base where US troops are located in Iraq, a US defense official says. There are no reports of US injuries or damage so far.",96,306,424,,,,0,0
Sep 30,The Senate has approved a stopgap spending bill in order to avert a government shutdown just hours before funding was set to expire,164,138,341,https://pbs.twimg.com/card_img/1319039636702859265/U4tbO1c5?format=jpg&name=small,https://pbs.twimg.com/card_img/1319039636702859265/U4tbO1c5?format=jpg&name=small,https://t.co/7cdxO2SXTI?amp=1,1,1
Sep 30,"Seven people were shot at a funeral home in Milwaukee and are being treated for their injuries at a local hospital, police officials say",88,191,296,https://pbs.twimg.com/card_img/1316848250201276418/lpNpgv4W?format=jpg&name=small,https://pbs.twimg.com/card_img/1316848250201276418/lpNpgv4W?format=jpg&name=small,https://t.co/bu2k9SpEsB?amp=1,1,1
Sep 30,"Clare Bronfman, heiress to the Seagram liquor fortune, was sentenced to nearly seven years in prison on charges stemming from her involvement with the cult-like group Nxivm",64,237,651,https://pbs.twimg.com/card_img/1319017376742924288/KIfXheRn?format=jpg&name=small,https://pbs.twimg.com/card_img/1319017376742924288/KIfXheRn?format=jpg&name=small,https://t.co/gKszpRqGoB?amp=1,1,1
Sep 30,"Trump plans to participate in the next two presidential debates, his campaign says",491,155,510,https://pbs.twimg.com/media/EjL5B9oWoAILvGy?format=jpg&name=small,,,1,0
Sep 30,Kentucky Attorney General Daniel Cameron's office says he has been given until noon Friday to release the grand jury recordings in the Breonna Taylor case,156,399,1K,https://pbs.twimg.com/card_img/1318936851370135553/mO0VPUbM?format=jpg&name=small,https://pbs.twimg.com/card_img/1318936851370135553/mO0VPUbM?format=jpg&name=small,https://t.co/TTpt1GnqyE?amp=1,1,1
Sep 30,"In the aftermath of an off-the-rails debate between Biden and Trump, the Commission on Presidential Debates says it is considering structural changes moving forward",525,417,1.9K,https://pbs.twimg.com/media/EjLlkOXWoAAYhUz?format=jpg&name=small,,,1,0
Sep 30,"""I would say, in the main, it was done by the book. It was appropriate, and it was essential that it be done,"" Comey said of the Russia investigation in a hearing before the Senate Judiciary Committee today",133,264,768,https://pbs.twimg.com/card_img/1316503586327728133/4L39HJrA?format=jpg&name=small,https://pbs.twimg.com/card_img/1316503586327728133/4L39HJrA?format=jpg&name=small,https://t.co/JOqY5rh5zN?amp=1,1,1
Sep 30,The NFL postpones Sunday's Pittsburgh Steelers-Tennessee Titans game,35,137,221,https://pbs.twimg.com/media/EjLOnJWX0AAOf5X?format=jpg&name=small,,,1,0
Sep 30,Kentucky Attorney General Daniel Cameron has asked for a one-week delay in the release of the grand jury recordings in the Breonna Taylor case,581,700,699,https://pbs.twimg.com/card_img/1318936851370135553/mO0VPUbM?format=jpg&name=small,https://pbs.twimg.com/card_img/1318936851370135553/mO0VPUbM?format=jpg&name=small,https://t.co/uBqbV2VDBB?amp=1,1,1
