,tweets_Text,tweets_Retweets,tweets_Likes,has_image,has_Link,tweets_ResponseCategory
0,initial reports suggest three rockets struck base us troops located iraq us defense official says reports us injuries damage far,306.0,424.0,0,0,1
1,senate approved stopgap spending bill order avert government shutdown hours funding set expire,138.0,341.0,1,1,2
2,seven people shot funeral home milwaukee treated injuries local hospital police officials say,191.0,296.0,1,1,1
3,clare bronfman heiress seagram liquor fortune sentenced nearly seven years prison charges stemming involvement cultlike group nxivm,237.0,651.0,1,1,0
4,trump plans participate next two presidential debates campaign says,155.0,510.0,1,0,3
5,kentucky attorney general daniel camerons office says given noon friday release grand jury recordings breonna taylor case,399.0,1000.0,1,1,2
6,aftermath offtherails debate biden trump commission presidential debates says considering structural changes moving forward,417.0,1900.0,1,0,3
7,would say main done book appropriate essential done comey said russia investigation hearing senate judiciary committee today,264.0,768.0,1,1,1
8,nfl postpones sundays pittsburgh steelerstennessee titans game,137.0,221.0,1,0,0
9,kentucky attorney general daniel cameron asked oneweek delay release grand jury recordings breonna taylor case,700.0,699.0,1,1,3
10,bureau economic analysis publishes third look us gross domestic product broadest measure economy,62.0,259.0,1,0,0
11,serena williams pulled french open ahead scheduled second round match tsvetana pironkova,165.0,570.0,1,1,0
12,president trump get first question joe biden hit debate stage follow live,104.0,369.0,1,0,1
13,federal judge california blocked trump administration rule wouldve hiked naturalization fees 80 charged firsttime fee asylum applicants days regulation set take effect,730.0,2400.0,1,1,1
14,disney laying 28000 us workers coronavirus pandemic hammers theme park business,654.0,838.0,1,1,2
15,joe biden wife paid nearly 300000 federal income tax last year sen kamala harris released 2019 returns well,1100.0,6400.0,1,1,3
16,nearly 100000 brooklyn voters sent new ballots may received absentee ballot return envelopes wrong address names printed new york city board elections says,495.0,731.0,1,1,3
17,two nfl teams suspend inperson activities following positive covid19 test results,141.0,297.0,1,0,0
18,new york city could implement covid19 restrictions early tomorrow mayor bill de blasio says,223.0,589.0,1,0,2
19,us stocks open lower investors skeptical new stimulus plan,80.0,314.0,1,0,1
20,emir kuwait sheikh sabah alahmad aljaber alsabah died age 91 ruling gulf state 14 years,364.0,883.0,1,1,1
21,multiple people killed hostage situation salem oregon officials say sheriffs office didnt say many people died,506.0,808.0,1,1,2
22,coronavirus killed 1 million people worldwide experts fear toll may double vaccine ready,733.0,1100.0,1,1,3
23,microsoft 365 monday evening across us affecting users access multiple services including outlook,686.0,895.0,1,1,2
24,trump paid federal income taxes whatsoever 10 past 15 years beginning 2000 new york times report says,5200.0,11500.0,1,1,3
25,joe biden never nations history supreme court justice nominated installed presidential election already underway defies every precedent,1000.0,4600.0,1,0,3
26,joe biden says trumps nomination amy coney barrett supreme court senate republicans promise quickly confirm overturning obamacare,358.0,1200.0,1,0,3
27,joe biden responds trump nominating amy coney barrett supreme court follow live updates,108.0,384.0,1,1,1
28,senate judiciary chairman lindsey graham says committee approve amy coney barretts supreme court nomination october 22 setting full senate vote end month,273.0,713.0,1,1,3
29,house speaker nancy pelosi criticizes trumps swift move make supreme court pick saying hes moving quickly fill vacancy court hears case affordable care act,372.0,1500.0,1,0,3
30,house speaker nancy pelosi jill biden appear state union wake amy coney barretts nomination supreme court,120.0,530.0,1,1,1
31,police louisville arrested 28 people saturday night protesters demanding justice breonna taylor took street,215.0,703.0,1,1,2
32,suspect custody officer injured los angeles police departments harbor community station authorities say,79.0,290.0,1,1,0
33,federal prosecutor massachusetts accuses attorney general william barr dangerous abuse power politicizing position,2400.0,7400.0,1,1,3
34,president trump nominating conservative federal appeals court judge amy coney barrett succeed ruth bader ginsburg supreme court,362.0,1400.0,1,0,3
35,hurricane force wind warning issued parts gulf alaska seas higher 25 feet forecast,466.0,779.0,1,1,1
36,residents lake jackson texas told use water braineating amoeba found supply seven southeast texas cities warned since cleared,2900.0,2800.0,1,1,3
37,local officials pennsylvania say nine ballots discarded error temporary seasonal independent contractor justice department says seven ballots president trump,349.0,661.0,1,1,3
38,least 25 people killed ukrainian air force transport plane crashed near chuguev officials say,144.0,312.0,1,1,0
39,powerful vatican cardinal resigned says accused embezzlement,188.0,451.0,1,1,1
40,two officials massachusetts veterans home indicted deadly coronavirus outbreak facility,191.0,460.0,1,1,1
41,ron paul former congressman presidential candidate says hes fine hospitalized apparent medical episode,66.0,276.0,1,1,0
42,president trump intends choose amy coney barrett new supreme court justice multiple senior gop sources knowledge process say,6800.0,11100.0,1,1,3
43,us surpassed 7 million confirmed cases covid19 nearly half states reporting rising numbers new cases,732.0,880.0,1,0,2
44,florida gov desantis clears bars restaurants return 100 capacity still gives municipalities discretion impose restrictions,897.0,1000.0,1,0,3
45,federal judge signals wants see evidence whether political influence played role justice departments decision release texts former fbi employees lisa page peter strzok,178.0,614.0,1,1,1
46,outdoor dining permanent yearround new york city mayor bill de blasio announces follow live updates coronavirus,231.0,593.0,1,0,2
47,breonna taylors family attorney says grand jury transcripts made public baffled evidence seen,608.0,2400.0,1,1,2
48,virginias democratic gov ralph northam wife tested positive covid19 according statement office,269.0,533.0,1,1,2
49,justice ruth bader ginsburg honored us capitol first woman lie state follow live updates,179.0,1400.0,0,0,0
50,seattle police officer captured video rolling bicycle head protester laying street administrative leave,1600.0,3500.0,1,1,3
51,republican ohio gov mike dewine says issue proclamation activating around 300 state national guard members ahead tuesdays first presidential debate cleveland,118.0,234.0,1,0,1
52,department homeland security proposing changes visas students exchange visitors foreign media potentially limit length time remain us,236.0,285.0,1,1,1
53,sacramento county sheriffs department fired deputy seen viral video punching 14yearold boy,375.0,1000.0,1,1,1
54,ensemble forecast published cdc projects 214000 226000 covid19 deaths us oct 17,198.0,254.0,1,0,1
55,nearly 130 people arrested wednesday louisville protests breonna taylor case citys interim police chief says,140.0,366.0,1,1,1
56,louisville working release information related breonna taylor investigation citys mayor says,123.0,344.0,1,0,1
57,dr fauci says covid19 theres good enough data say aerosol transmission occur,579.0,1800.0,1,0,2
58,louisville police shooting suspect larynzo johnson charged assault wanton endangerment officer follow live updates,169.0,489.0,1,0,2
59,fda chief dr stephen hahn still wont comment trumps threat override vaccine rules,147.0,249.0,1,0,1
60,mary trump president trumps niece filed lawsuit accusing siblings committing fraud order deprive interests family realestate empire built fred trump sr,894.0,3900.0,1,1,3
61,president trump melania trump paid respects supreme court justice ruth bader ginsburg crowd protested presence,512.0,2100.0,1,0,3
62,lonita baker attorney breonna taylors mother said grand jurys result make legal sense kentuckys attorney general failed,371.0,1700.0,1,0,2
63,another 870000 workers filed firsttime claims unemployment benefits seasonally adjusted basis last week,275.0,543.0,1,1,1
64,cdc says thousands passengers board commercial flights may exposed coronavirus since start 2020,1100.0,1800.0,1,0,3
65,teresa parson wife missouri gov mike parson tested positive covid19,144.0,391.0,1,0,2
66,ben crump attorney family breonna taylor said grand jurys decision fully wanted brings us closer justice,1200.0,1400.0,1,0,3
67,exofficer brett hankison charged wanton endangerment fatal shooting breonna taylor two police officers indicted follow live updates,1200.0,1500.0,1,0,3
