,tweets_Date,tweets_Likes,tweets_Replies,tweets_Retweets,tweets_Text,has_image,has_Link,tweets_ResponseCategory
0,Sep 30,424.0,96.0,306.0,initial reports suggest three rockets struck base us troops located iraq us defense official says reports us injuries damage far,0,0,1
1,Sep 30,341.0,164.0,138.0,senate approved stopgap spending bill order avert government shutdown hours funding set expire,1,1,2
2,Sep 30,296.0,88.0,191.0,seven people shot funeral home milwaukee treated injuries local hospital police officials say,1,1,1
3,Sep 30,651.0,64.0,237.0,clare bronfman heiress seagram liquor fortune sentenced nearly seven years prison charges stemming involvement cultlike group nxivm,1,1,0
4,Sep 30,510.0,491.0,155.0,trump plans participate next two presidential debates campaign says,1,0,2
5,Sep 30,1000.0,156.0,399.0,kentucky attorney general daniel camerons office says given noon friday release grand jury recordings breonna taylor case,1,1,1
6,Sep 30,1900.0,525.0,417.0,aftermath offtherails debate biden trump commission presidential debates says considering structural changes moving forward,1,0,2
7,Sep 30,768.0,133.0,264.0,would say main done book appropriate essential done comey said russia investigation hearing senate judiciary committee today,1,1,1
8,Sep 30,221.0,35.0,137.0,nfl postpones sundays pittsburgh steelerstennessee titans game,1,0,0
9,Sep 30,699.0,581.0,700.0,kentucky attorney general daniel cameron asked oneweek delay release grand jury recordings breonna taylor case,1,1,2
10,Sep 30,259.0,34.0,62.0,bureau economic analysis publishes third look us gross domestic product broadest measure economy,1,0,0
11,Sep 30,570.0,68.0,165.0,serena williams pulled french open ahead scheduled second round match tsvetana pironkova,1,1,1
12,Sep 30,369.0,123.0,104.0,president trump get first question joe biden hit debate stage follow live,1,0,1
13,Sep 30,2400.0,98.0,730.0,federal judge california blocked trump administration rule wouldve hiked naturalization fees 80 charged firsttime fee asylum applicants days regulation set take effect,1,1,1
14,Sep 29,838.0,200.0,654.0,disney laying 28000 us workers coronavirus pandemic hammers theme park business,1,1,2
15,Sep 29,6400.0,876.0,1100.0,joe biden wife paid nearly 300000 federal income tax last year sen kamala harris released 2019 returns well,1,1,2
16,Sep 29,731.0,307.0,495.0,nearly 100000 brooklyn voters sent new ballots may received absentee ballot return envelopes wrong address names printed new york city board elections says,1,1,2
17,Sep 29,297.0,43.0,141.0,two nfl teams suspend inperson activities following positive covid19 test results,1,0,0
18,Sep 29,589.0,138.0,223.0,new york city could implement covid19 restrictions early tomorrow mayor bill de blasio says,1,0,1
19,Sep 29,314.0,84.0,80.0,us stocks open lower investors skeptical new stimulus plan,1,0,1
20,Sep 29,883.0,85.0,364.0,emir kuwait sheikh sabah alahmad aljaber alsabah died age 91 ruling gulf state 14 years,1,1,1
21,Sep 29,808.0,192.0,506.0,multiple people killed hostage situation salem oregon officials say sheriffs office didnt say many people died,1,1,2
22,Sep 29,1100.0,430.0,733.0,coronavirus killed 1 million people worldwide experts fear toll may double vaccine ready,1,1,2
23,Sep 28,895.0,146.0,686.0,microsoft 365 monday evening across us affecting users access multiple services including outlook,1,1,1
24,Sep 27,11500.0,2700.0,5200.0,trump paid federal income taxes whatsoever 10 past 15 years beginning 2000 new york times report says,1,1,2
25,Sep 27,4600.0,874.0,1000.0,joe biden never nations history supreme court justice nominated installed presidential election already underway defies every precedent,1,0,2
26,Sep 27,1200.0,349.0,358.0,joe biden says trumps nomination amy coney barrett supreme court senate republicans promise quickly confirm overturning obamacare,1,0,2
27,Sep 27,384.0,121.0,108.0,joe biden responds trump nominating amy coney barrett supreme court follow live updates,1,1,1
28,Sep 27,713.0,448.0,273.0,senate judiciary chairman lindsey graham says committee approve amy coney barretts supreme court nomination october 22 setting full senate vote end month,1,1,2
29,Sep 27,1500.0,383.0,372.0,house speaker nancy pelosi criticizes trumps swift move make supreme court pick saying hes moving quickly fill vacancy court hears case affordable care act,1,0,2
30,Sep 27,530.0,129.0,120.0,house speaker nancy pelosi jill biden appear state union wake amy coney barretts nomination supreme court,1,1,1
31,Sep 27,703.0,227.0,215.0,police louisville arrested 28 people saturday night protesters demanding justice breonna taylor took street,1,1,2
32,Sep 27,290.0,55.0,79.0,suspect custody officer injured los angeles police departments harbor community station authorities say,1,1,0
33,Sep 27,7400.0,608.0,2400.0,federal prosecutor massachusetts accuses attorney general william barr dangerous abuse power politicizing position,1,1,2
34,Sep 26,1400.0,672.0,362.0,president trump nominating conservative federal appeals court judge amy coney barrett succeed ruth bader ginsburg supreme court,1,0,2
35,Sep 26,779.0,102.0,466.0,hurricane force wind warning issued parts gulf alaska seas higher 25 feet forecast,1,1,1
36,Sep 26,2800.0,703.0,2900.0,residents lake jackson texas told use water braineating amoeba found supply seven southeast texas cities warned since cleared,1,1,2
37,Sep 25,661.0,475.0,349.0,local officials pennsylvania say nine ballots discarded error temporary seasonal independent contractor justice department says seven ballots president trump,1,1,2
38,Sep 25,312.0,65.0,144.0,least 25 people killed ukrainian air force transport plane crashed near chuguev officials say,1,1,0
39,Sep 25,451.0,92.0,188.0,powerful vatican cardinal resigned says accused embezzlement,1,1,1
40,Sep 25,460.0,83.0,191.0,two officials massachusetts veterans home indicted deadly coronavirus outbreak facility,1,1,1
41,Sep 25,276.0,68.0,66.0,ron paul former congressman presidential candidate says hes fine hospitalized apparent medical episode,1,1,1
42,Sep 25,11100.0,5300.0,6800.0,president trump intends choose amy coney barrett new supreme court justice multiple senior gop sources knowledge process say,1,1,2
43,Sep 25,880.0,226.0,732.0,us surpassed 7 million confirmed cases covid19 nearly half states reporting rising numbers new cases,1,0,2
44,Sep 25,1000.0,792.0,897.0,florida gov desantis clears bars restaurants return 100 capacity still gives municipalities discretion impose restrictions,1,0,2
45,Sep 25,614.0,107.0,178.0,federal judge signals wants see evidence whether political influence played role justice departments decision release texts former fbi employees lisa page peter strzok,1,1,1
46,Sep 25,593.0,164.0,231.0,outdoor dining permanent yearround new york city mayor bill de blasio announces follow live updates coronavirus,1,0,2
47,Sep 25,2400.0,208.0,608.0,breonna taylors family attorney says grand jury transcripts made public baffled evidence seen,1,1,2
48,Sep 25,533.0,250.0,269.0,virginias democratic gov ralph northam wife tested positive covid19 according statement office,1,1,2
49,Sep 25,1400.0,46.0,179.0,justice ruth bader ginsburg honored us capitol first woman lie state follow live updates,0,0,0
50,Sep 24,3500.0,687.0,1600.0,seattle police officer captured video rolling bicycle head protester laying street administrative leave,1,1,2
51,Sep 24,234.0,88.0,118.0,republican ohio gov mike dewine says issue proclamation activating around 300 state national guard members ahead tuesdays first presidential debate cleveland,1,0,1
52,Sep 24,285.0,70.0,236.0,department homeland security proposing changes visas students exchange visitors foreign media potentially limit length time remain us,1,1,1
53,Sep 24,1000.0,98.0,375.0,sacramento county sheriffs department fired deputy seen viral video punching 14yearold boy,1,1,1
54,Sep 24,254.0,116.0,198.0,ensemble forecast published cdc projects 214000 226000 covid19 deaths us oct 17,1,0,1
55,Sep 24,366.0,94.0,140.0,nearly 130 people arrested wednesday louisville protests breonna taylor case citys interim police chief says,1,1,1
56,Sep 24,344.0,93.0,123.0,louisville working release information related breonna taylor investigation citys mayor says,1,0,1
57,Sep 24,1800.0,170.0,579.0,dr fauci says covid19 theres good enough data say aerosol transmission occur,1,0,2
58,Sep 24,489.0,186.0,169.0,louisville police shooting suspect larynzo johnson charged assault wanton endangerment officer follow live updates,1,0,2
59,Sep 24,249.0,107.0,147.0,fda chief dr stephen hahn still wont comment trumps threat override vaccine rules,1,0,1
60,Sep 24,3900.0,395.0,894.0,mary trump president trumps niece filed lawsuit accusing siblings committing fraud order deprive interests family realestate empire built fred trump sr,1,1,2
61,Sep 24,2100.0,455.0,512.0,president trump melania trump paid respects supreme court justice ruth bader ginsburg crowd protested presence,1,0,2
62,Sep 24,1700.0,179.0,371.0,lonita baker attorney breonna taylors mother said grand jurys result make legal sense kentuckys attorney general failed,1,0,2
63,Sep 24,543.0,76.0,275.0,another 870000 workers filed firsttime claims unemployment benefits seasonally adjusted basis last week,1,1,1
64,Sep 23,1800.0,529.0,1100.0,cdc says thousands passengers board commercial flights may exposed coronavirus since start 2020,1,0,2
65,Sep 23,391.0,138.0,144.0,teresa parson wife missouri gov mike parson tested positive covid19,1,0,1
66,Sep 23,1400.0,400.0,1200.0,ben crump attorney family breonna taylor said grand jurys decision fully wanted brings us closer justice,1,0,2
67,Sep 23,1500.0,434.0,1200.0,exofficer brett hankison charged wanton endangerment fatal shooting breonna taylor two police officers indicted follow live updates,1,0,2
68,Sep 23,3500.0,881.0,1500.0,dr deborah birx confided aides friends distressed direction white house coronavirus task force describing situation nightmarish sources say,1,1,2
69,Sep 23,399.0,52.0,209.0,metropolitan opera announces canceled entire 202021 season due ongoing health crisis,1,0,0
70,Sep 23,393.0,147.0,350.0,ahead expected news conference breonna taylor case louisvilles mayor announces curfew beginning 9 pm tonight,1,0,1
71,Sep 23,25500.0,1600.0,7200.0,heated exchange dr fauci challenges sen rand pauls assertion new yorks current low positivity rate attributable community immunity believe 22 herd immunity believe youre alone,0,0,2
72,Sep 23,608.0,123.0,391.0,longawaited findings grand jury probe fatal police shooting breonna taylor announced kentuckys attorney general afternoon,1,1,1
73,Sep 23,562.0,84.0,301.0,90 population remains susceptible covid19 cdc director dr robert redfield says,1,0,1
74,Sep 23,959.0,177.0,508.0,cdc director dr robert redfield says young people major contributors spread covid19,1,0,2
75,Sep 23,905.0,39.0,200.0,supreme court chief justice john roberts describes ginsburg bookkeepers daughter rose supreme court,1,0,0
76,Sep 23,498.0,43.0,119.0,dr fauci cdc director dr redfield testify senate us covid19 response,1,1,0
77,Sep 23,30000.0,544.0,6100.0,100 justice ginsburgs former clerks meet casket supreme court steps,1,0,2
78,Sep 22,650.0,130.0,207.0,speaker pelosi treasury secretary mnuchin reached agreement government funding likely avoiding shutdown end month,1,1,1
79,Sep 22,1900.0,143.0,308.0,vanessa bryant suing los angeles county sheriffs department sheriff alex villanueva photo leak helicopter crash killed husband nba legend kobe bryant daughter gianna seven others,1,1,1
80,Sep 22,606.0,133.0,380.0,notre dames football game saturday postponed multiple players tested positive covid19,1,0,1
