"listing_value","tweets_Name","tweets_Date","tweets_Text","tweets_Replies","tweets_Retweets","tweets_Likes","tweets_Images","tweets_imageURL","tweets_hrefURL","remove"
"","CNN Breaking News","Mar 8, 2012","Judge says entrance exam biased, orders NY Fire Dept. to hire 293 minorities","28","256","28","","","","1"
"","CNN Breaking News","Mar 8, 2012","Senate rejects measure to bypass Obama administration and build Keystone XL pipeline","18","163","13","","","","1"
"","CNN Breaking News","Mar 8, 2012","2 dead, 7 injured in shooting at Pittsburgh psychiatric clinic, medical center says","13","311","17","","","","1"
"","CNN Breaking News","Mar 8, 2012","University: ""Several injured"" in shooting at Pittsburgh psychiatric clinic","3","223","20","","","","1"
"","CNN Breaking News","Mar 8, 2012","Lawmakers announce bill to prohibit indefinite detention in U.S.","8","138","23","","","","1"
"","CNN Breaking News","Mar 8, 2012","International pedophile ring busted; arrests in Italy, U.S., France, Portugal","14","185","22","","","","1"
"","CNN Breaking News","Mar 8, 2012","Pardons issued by former Gov. Barbour are valid, Mississippi Supreme Court rules","10","76","14","","","","1"
"","CNN Breaking News","Mar 8, 2012","Pakistan starts proceedings against bin Laden widows for allegedly entering country illegally","10","57","7","","","","1"
"","CNN Breaking News","Mar 8, 2012","House passes bipartisan bill aimed at helping small business start-ups.","11","123","26","","","","1"
"","CNN Breaking News","Mar 8, 2012","Iranian envoy says country will ""never, ever"" suspend nuclear activities.","26","144","12","","","","1"
"","CNN Breaking News","Mar 8, 2012","U.S. probes Afghan Air Force drug-running allegations.","2","44","8","","","","1"
"","CNN Breaking News","Mar 8, 2012","Radiation from solar storms hitting Earth, space weather center says.","12","520","30","","","","1"
"","CNN Breaking News","Mar 8, 2012","violence, opposition network reports.","11","115","11","","","","1"
"","CNN Breaking News","Mar 8, 2012","A man identifying himself as the Syrian deputy oil minister says he is defecting","12","116","16","","","","1"
"","CNN Breaking News","Mar 8, 2012","Dem Convention chairman Villaraigosa says same-sex marriage should be in party platform","25","101","13","","","","1"
"","CNN Breaking News","Mar 7, 2012","Stocks bounce back a day after biggest one-day sell-off of 2012","8","68","10","","","","1"
"","CNN Breaking News","Mar 7, 2012","3 people, including a deputy, hurt in shooting outside Oklahoma courthouse","5","137","10","","","","1"
"","CNN Breaking News","Mar 7, 2012","Anonymous claims it has shut down Vatican website","32","437","29","","","","1"
"","CNN Breaking News","Mar 7, 2012","Murder charges dropped in Maryland against 2 doctors in abortion case","8","77","13","","","","1"
"","CNN Breaking News","Mar 7, 2012","with a higher-resolution screen.","18","452","26","","","","1"
"","CNN Breaking News","Mar 7, 2012","announcement from","6","125","8","","","","1"
"","CNN Breaking News","Mar 7, 2012","Peyton Manning parts ways with Indianapolis Colts.","16","392","17","","","","1"
"","Peyton Manning leaving Colts","","Peyton Manning parts ways with Indianapolis Colts.","16","392","17","","","","1"
"","[Updated at 12:48 p.m. ET] A tearful Peyton Manning announced the end of his 14-year career with the Indianapolis Colts on Wednesday, but said he plans to be playing in the NFL again.","","Peyton Manning parts ways with Indianapolis Colts.","16","392","17","","","","1"
"","news.blogs.cnn.com","","Peyton Manning parts ways with Indianapolis Colts.","16","392","17","","","","1"
"","CNN Breaking News","Mar 7, 2012","Too many immigrants in France, Sarkozy says. http://on.cnn.com/wjfn9P","36","122","21","","","","1"
"","CNN Breaking News","Mar 7, 2012","Tropical Storm Irina kills 72 in Madagascar, U.N. reports.","9","120","8","","","","1"
"","CNN Breaking News","Mar 7, 2012","to push for aid access.","8","76","15","","","","1"
"","CNN Breaking News","Mar 7, 2012","Norway mass murder suspect formally charged in 77 killings.","3","177","23","","","","1"
"","CNN Breaking News","Mar 7, 2012",".","6","88","12","","","","1"
"","CNN Breaking News","Mar 7, 2012","#CNNElections","23","173","12","","","","1"
"","CNN Breaking News","Mar 7, 2012","Live blog:","15","107","19","","","","1"
"","CNN Breaking News","Mar 7, 2012","Sarah Palin votes for Newt Gingrich in Alaska caucuses, saying he ""best represent the ideas many Alaskans want to see.","50","123","14","","","","1"
"","CNN Breaking News","Mar 7, 2012","#CNNElections","11","85","11","","","","1"
"","CNN Breaking News","Mar 7, 2012","#CNNElections","9","90","11","","","","1"
"","CNN Breaking News","Mar 7, 2012","County-by-county results","19","140","17","","","","1"
"","CNN Breaking News","Mar 7, 2012","County-by-county results","11","55","4","","","","1"
"","CNN Breaking News","Mar 7, 2012","#CNNElections","13","100","11","","","","1"
"","CNN Breaking News","Mar 7, 2012","#CNNElections","5","80","8","","","","1"
"","CNN Breaking News","Mar 7, 2012","#CNNElections","9","74","3","","","","1"
"","CNN Breaking News","Mar 7, 2012","#CNNElections","57","156","17","","","","1"
