"listing_value","tweets_Name","tweets_Date","tweets_Text","tweets_Replies","tweets_Retweets","tweets_Likes","tweets_Images","tweets_imageURL","tweets_hrefURL","remove"
"1","CNN Breaking News","Dec 31, 2013","Utah asks Supreme Court to block same-sex marriage.","85","131","96","","","","1"
"1","CNN Breaking News","Dec 31, 2013","Catholic groups ask Supreme Court to delay Obamacare mandate.","48","177","102","","","","1"
"1","CNNPolitics - Political News, Analysis and Opinion","","Catholic groups ask Supreme Court to delay Obamacare mandate.","48","177","102","","","","1"
"1","Politics at CNN has news, opinion and analysis of American and global politics Find news and video about elections, the White House, the U.N and much more.","","Catholic groups ask Supreme Court to delay Obamacare mandate.","48","177","102","","","","1"
"1","cnn.com","","Catholic groups ask Supreme Court to delay Obamacare mandate.","48","177","102","","","","1"
"1","CNN Breaking News","Dec 31, 2013","In loving memory of the incandescent light bulb, flickering towards oblivion, we offer this obit. RIP, ye bulbs.","59","590","242","https://pbs.twimg.com/card_img/1335318165811814402/8btY8pkS?format=jpg&name=240x240","https://pbs.twimg.com/card_img/1335318165811814402/8btY8pkS?format=jpg&name=240x240","http://t.co/7Y8IAX6BBN?amp=1","1"
"1","Obit: RIP, light bulb","","In loving memory of the incandescent light bulb, flickering towards oblivion, we offer this obit. RIP, ye bulbs.","59","590","242","https://pbs.twimg.com/card_img/1335318165811814402/8btY8pkS?format=jpg&name=240x240","https://pbs.twimg.com/card_img/1335318165811814402/8btY8pkS?format=jpg&name=240x240","http://t.co/7Y8IAX6BBN?amp=1","1"
"1","It lit up the world and showed us all our way. It served presidents, princes, and paupers alike. RIP, traditional light bulb.","","In loving memory of the incandescent light bulb, flickering towards oblivion, we offer this obit. RIP, ye bulbs.","59","590","242","https://pbs.twimg.com/card_img/1335318165811814402/8btY8pkS?format=jpg&name=240x240","https://pbs.twimg.com/card_img/1335318165811814402/8btY8pkS?format=jpg&name=240x240","http://t.co/7Y8IAX6BBN?amp=1","1"
"1","cnn.com","","In loving memory of the incandescent light bulb, flickering towards oblivion, we offer this obit. RIP, ye bulbs.","59","590","242","https://pbs.twimg.com/card_img/1335318165811814402/8btY8pkS?format=jpg&name=240x240","https://pbs.twimg.com/card_img/1335318165811814402/8btY8pkS?format=jpg&name=240x240","http://t.co/7Y8IAX6BBN?amp=1","1"
"1","CNN Breaking News","Dec 31, 2013","More than 2 million people will have health insurance under Obamacare at the start of 2014.","139","442","217","","","","1"
"1","CNN Breaking News","Dec 31, 2013","Did you give someone a Target gift card for the holidays? It may not be activated.","91","443","141","","","","1"
"1","Target's latest holiday shopping problem","","Did you give someone a Target gift card for the holidays? It may not be activated.","91","443","141","","","","1"
"1","Target confirms that some gift cards aren't working properly, but it's not related to the recent credit card breach.","","Did you give someone a Target gift card for the holidays? It may not be activated.","91","443","141","","","","1"
"1","money.cnn.com","","Did you give someone a Target gift card for the holidays? It may not be activated.","91","443","141","","","","1"
"1","CNN Breaking News","Dec 31, 2013","Journalist tries to sneak into Michael Schumacher's hospital room where the F1 driver is being treated for a severe brain injury....","130","270","75","","","","1"
"1","CNN Breaking News","Dec 31, 2013","Court orders arrest of apparel factory owner, five others, in deadly blaze","6","172","50","","","","1"
"1","CNN Breaking News","Dec 31, 2013","Death toll from Russia's Volgograd attacks rises to 34","25","279","73","","","","1"
"1","CNN Breaking News","Dec 31, 2013","Sorry about that, Nicole.","1","6","5","","","","1"
"1","CNN Breaking News","Dec 31, 2013",". Sorry, Raissa. There really is a human behind this account.","2","8","6","","","","1"
"1","CNN Breaking News","Dec 31, 2013","Sorry, Sarah.","2","4","3","","","","1"
"1","CNN Breaking News","Dec 31, 2013","Arizona mother accused of poisoning children on Christmas. This is the correct link.","58","201","211","","","","1"
"1","CNN Breaking News","Dec 31, 2013","Arizona mother accused of poisoning children on Christmas.","121","286","97","","","","1"
"1","CNN Breaking News","Dec 31, 2013",".","32","286","91","","","","1"
"1","CNN Breaking News","Dec 31, 2013","Judge extends TRO for Jahi McMath, meaning hospital can't disconnect her from life support until Jan. 7.","44","154","67","","","","1"
"1","CNN Breaking News","Dec 30, 2013","Bad weather forces 2nd icebreaker trying to reach ship stuck in Antarctic ice to suspend rescue effort","31","202","92","","","","1"
"1","CNN Breaking News","Dec 30, 2013","At least 10 killed in trolleybus explosion Monday morning in Volgograd, Russia. Explosion comes day after suicide bombing at train station","35","536","111","","","","1"
"1","CNN Breaking News","Dec 30, 2013","Man missing after jumping from cruise ship.","106","199","228","","","","1"
"1","CNN Breaking News","Dec 29, 2013","Suspected cop killer and bank robber Identified after being shot to death.","25","182","106","","","","1"
"1","CNN Breaking News","Dec 29, 2013","Michael Schumacher in critical condition after skiing accident.","236","1.8K","344","https://pbs.twimg.com/card_img/1335906014516928512/tJwDI7wc?format=jpg&name=small","https://pbs.twimg.com/card_img/1335906014516928512/tJwDI7wc?format=jpg&name=small","http://t.co/utbmTH82NV?amp=1","1"
"1","Michael Schumacher in critical condition after skiing accident","","Michael Schumacher in critical condition after skiing accident.","236","1.8K","344","https://pbs.twimg.com/card_img/1335906014516928512/tJwDI7wc?format=jpg&name=small","https://pbs.twimg.com/card_img/1335906014516928512/tJwDI7wc?format=jpg&name=small","http://t.co/utbmTH82NV?amp=1","1"
"1","Retired Formula One driver Michael Schumacher is in critical condition after a skiing accident in the French Alps Sunday.","","Michael Schumacher in critical condition after skiing accident.","236","1.8K","344","https://pbs.twimg.com/card_img/1335906014516928512/tJwDI7wc?format=jpg&name=small","https://pbs.twimg.com/card_img/1335906014516928512/tJwDI7wc?format=jpg&name=small","http://t.co/utbmTH82NV?amp=1","1"
