"listing_value","tweets_Name","tweets_Date","tweets_Text","tweets_Replies","tweets_Retweets","tweets_Likes","tweets_Images","tweets_imageURL","tweets_hrefURL","remove"
"1","CNN Breaking News","Aug 17, 2014","Kurds call on Iraqi parliament to recognize crimes committed by ISIS against Yazidi as genocide.","38","390","297","","","","1"
"1","Officials: U.S. airstrikes pound ISIS near Iraqi dam","","Kurds call on Iraqi parliament to recognize crimes committed by ISIS against Yazidi as genocide.","38","390","297","https://pbs.twimg.com/card_img/1334197025005572097/wKzb2jsF?format=jpg&name=240x240","https://pbs.twimg.com/card_img/1334197025005572097/wKzb2jsF?format=jpg&name=240x240","http://t.co/0lzYnqora2?amp=1","1"
"1","Kurdish forces fired mortars and explosives at extremist militants Sunday as the battle to retake a strategic dam in northern Iraq raged on.","","Kurds call on Iraqi parliament to recognize crimes committed by ISIS against Yazidi as genocide.","38","390","297","https://pbs.twimg.com/card_img/1334197025005572097/wKzb2jsF?format=jpg&name=240x240","https://pbs.twimg.com/card_img/1334197025005572097/wKzb2jsF?format=jpg&name=240x240","http://t.co/0lzYnqora2?amp=1","1"
"1","cnn.com","","Kurds call on Iraqi parliament to recognize crimes committed by ISIS against Yazidi as genocide.","38","390","297","https://pbs.twimg.com/card_img/1334197025005572097/wKzb2jsF?format=jpg&name=240x240","https://pbs.twimg.com/card_img/1334197025005572097/wKzb2jsF?format=jpg&name=240x240","http://t.co/0lzYnqora2?amp=1","1"
"1","CNN Breaking News","Aug 17, 2014","Man who fired at police and killed 3-year-old Maryland girl is believed to be girl’s father, authorities say.","49","269","178","","","","1"
"1","CNN Breaking News","Aug 17, 2014","Obama sends letter to Congress, stressing Mosul dam’s strategic importance to Iraq.","43","146","139","https://pbs.twimg.com/card_img/1334197025005572097/wKzb2jsF?format=jpg&name=240x240","https://pbs.twimg.com/card_img/1334197025005572097/wKzb2jsF?format=jpg&name=240x240","http://t.co/0lzYnqora2?amp=1","1"
"1","Officials: U.S. airstrikes pound ISIS near Iraqi dam","","Obama sends letter to Congress, stressing Mosul dam’s strategic importance to Iraq.","43","146","139","https://pbs.twimg.com/card_img/1334197025005572097/wKzb2jsF?format=jpg&name=240x240","https://pbs.twimg.com/card_img/1334197025005572097/wKzb2jsF?format=jpg&name=240x240","http://t.co/0lzYnqora2?amp=1","1"
"1","Kurdish forces fired mortars and explosives at extremist militants Sunday as the battle to retake a strategic dam in northern Iraq raged on.","","Obama sends letter to Congress, stressing Mosul dam’s strategic importance to Iraq.","43","146","139","https://pbs.twimg.com/card_img/1334197025005572097/wKzb2jsF?format=jpg&name=240x240","https://pbs.twimg.com/card_img/1334197025005572097/wKzb2jsF?format=jpg&name=240x240","http://t.co/0lzYnqora2?amp=1","1"
"1","cnn.com","","Obama sends letter to Congress, stressing Mosul dam’s strategic importance to Iraq.","43","146","139","https://pbs.twimg.com/card_img/1334197025005572097/wKzb2jsF?format=jpg&name=240x240","https://pbs.twimg.com/card_img/1334197025005572097/wKzb2jsF?format=jpg&name=240x240","http://t.co/0lzYnqora2?amp=1","1"
"1","CNN Breaking News","Aug 17, 2014","Watch CNN live: ‘Rally for Justice for Michael Brown’ in Ferguson, Missouri.","96","177","173","","","","1"
