"listing_value","tweets_Name","tweets_Date","tweets_Text","tweets_Replies","tweets_Retweets","tweets_Likes","tweets_Images","tweets_imageURL","tweets_hrefURL","remove"
"1","CNN Breaking News","Dec 31, 2014","Actor Edward Herrmann, whose roles included “Gilmore Girls” father, has died at 71.","190","1.1K","815","https://pbs.twimg.com/media/B6OJVNzCEAAB_lK?format=jpg&name=small","","","1"
"1","CNN Breaking News","Dec 31, 2014","Delta diverts flight for pregnant passenger in labor.","69","341","439","https://pbs.twimg.com/media/B6OHdPcCIAEr7Vm?format=jpg&name=small","","","1"
"1","CNN Breaking News","Dec 31, 2014","U.S. says strike killed Al-Shabaab terrorist leader in Somalia","50","312","352","","","","1"
"1","CNN Breaking News","Dec 31, 2014","Deadly blast targets Houthi gathering in Yemen, government says.","9","79","95","https://pbs.twimg.com/card_img/1333888767162085376/2-BipKcK?format=jpg&name=small","https://pbs.twimg.com/card_img/1333888767162085376/2-BipKcK?format=jpg&name=small","http://t.co/KY1oLIRdrk?amp=1","1"
"1","Deadly blast targets Houthi gathering in Yemen - CNN","","Deadly blast targets Houthi gathering in Yemen, government says.","9","79","95","https://pbs.twimg.com/card_img/1333888767162085376/2-BipKcK?format=jpg&name=small","https://pbs.twimg.com/card_img/1333888767162085376/2-BipKcK?format=jpg&name=small","http://t.co/KY1oLIRdrk?amp=1","1"
"1","A huge explosion at a gathering for Houthis on Wednesday killed at least 23 people in Yemen's Ibb province, officials said.","","Deadly blast targets Houthi gathering in Yemen, government says.","9","79","95","https://pbs.twimg.com/card_img/1333888767162085376/2-BipKcK?format=jpg&name=small","https://pbs.twimg.com/card_img/1333888767162085376/2-BipKcK?format=jpg&name=small","http://t.co/KY1oLIRdrk?amp=1","1"
"1","cnn.com","","Deadly blast targets Houthi gathering in Yemen, government says.","9","79","95","https://pbs.twimg.com/card_img/1333888767162085376/2-BipKcK?format=jpg&name=small","https://pbs.twimg.com/card_img/1333888767162085376/2-BipKcK?format=jpg&name=small","http://t.co/KY1oLIRdrk?amp=1","1"
"1","CNN Breaking News","Dec 31, 2014","flight, Malaysian navy chief says.","30","287","201","https://pbs.twimg.com/card_img/1334057364069216257/ZuykWPxO?format=jpg&name=small","https://pbs.twimg.com/card_img/1334057364069216257/ZuykWPxO?format=jpg&name=small","http://t.co/doTHdgxg7G?amp=1","1"
"1","Search for AirAsia Flight QZ8501 slowed by weather - CNN","","flight, Malaysian navy chief says.","30","287","201","https://pbs.twimg.com/card_img/1334057364069216257/ZuykWPxO?format=jpg&name=small","https://pbs.twimg.com/card_img/1334057364069216257/ZuykWPxO?format=jpg&name=small","http://t.co/doTHdgxg7G?amp=1","1"
"1","In the search for AirAsia Flight QZ8501, seven bodies have been found so far, officials say.","","flight, Malaysian navy chief says.","30","287","201","https://pbs.twimg.com/card_img/1334057364069216257/ZuykWPxO?format=jpg&name=small","https://pbs.twimg.com/card_img/1334057364069216257/ZuykWPxO?format=jpg&name=small","http://t.co/doTHdgxg7G?amp=1","1"
"1","cnn.com","","flight, Malaysian navy chief says.","30","287","201","https://pbs.twimg.com/card_img/1334057364069216257/ZuykWPxO?format=jpg&name=small","https://pbs.twimg.com/card_img/1334057364069216257/ZuykWPxO?format=jpg&name=small","http://t.co/doTHdgxg7G?amp=1","1"
"1","CNN Breaking News","Dec 31, 2014","have recovered 7 bodies so far.","23","160","159","https://pbs.twimg.com/card_img/1334057364069216257/ZuykWPxO?format=jpg&name=small","https://pbs.twimg.com/card_img/1334057364069216257/ZuykWPxO?format=jpg&name=small","http://t.co/hBEKyidAHA?amp=1","1"
"1","Search for AirAsia Flight QZ8501 slowed by weather - CNN","","have recovered 7 bodies so far.","23","160","159","https://pbs.twimg.com/card_img/1334057364069216257/ZuykWPxO?format=jpg&name=small","https://pbs.twimg.com/card_img/1334057364069216257/ZuykWPxO?format=jpg&name=small","http://t.co/hBEKyidAHA?amp=1","1"
"1","In the search for AirAsia Flight QZ8501, seven bodies have been found so far, officials say.","","have recovered 7 bodies so far.","23","160","159","https://pbs.twimg.com/card_img/1334057364069216257/ZuykWPxO?format=jpg&name=small","https://pbs.twimg.com/card_img/1334057364069216257/ZuykWPxO?format=jpg&name=small","http://t.co/hBEKyidAHA?amp=1","1"
"1","cnn.com","","have recovered 7 bodies so far.","23","160","159","https://pbs.twimg.com/card_img/1334057364069216257/ZuykWPxO?format=jpg&name=small","https://pbs.twimg.com/card_img/1334057364069216257/ZuykWPxO?format=jpg&name=small","http://t.co/hBEKyidAHA?amp=1","1"
"1","CNN Breaking News","Dec 31, 2014","charged with sex offense, court records show.","29","168","105","","","","1"
"1","CNN Breaking News","Dec 31, 2014","At least 15 people were killed by Boko Haram fighters during a raid on a village in northern Nigeria, residents told CNN.","30","266","129","","","","1"
"1","CNN Breaking News","Dec 31, 2014","says. 15 children have died this flu season.","38","451","178","","","","1"
"1","Teen's death shows horror of flu epidemic","","says. 15 children have died this flu season.","38","451","178","","","","1"
"1","The flu has already become an epidemic in the U.S. this year, and is blamed for more deaths than it was at this time last year -- including 15 children.","","says. 15 children have died this flu season.","38","451","178","","","","1"
"1","cnn.com","","says. 15 children have died this flu season.","38","451","178","","","","1"
"1","CNN Breaking News","Dec 31, 2014",".","29","358","299","","","","1"
"1","CNN Breaking News","Dec 31, 2014","Wall at Morton Salt warehouse collapses, leaving cars buried in NaCl.","230","1.2K","1.2K","https://pbs.twimg.com/media/B6KtQIVCUAEZPtc?format=jpg&name=small","","","1"
"1","CNN Breaking News","Dec 31, 2014",".","39","364","208","https://pbs.twimg.com/card_img/1334853471070203909/WvFzuSR3?format=jpg&name=small","https://pbs.twimg.com/card_img/1334853471070203909/WvFzuSR3?format=jpg&name=small","http://t.co/wdZNykEYG3?amp=1","1"
