"listing_value","tweets_Name","tweets_Date","tweets_Text","tweets_Replies","tweets_Retweets","tweets_Likes","tweets_Images","tweets_imageURL","tweets_hrefURL","remove"
"","CNN Breaking News","Jan 27, 2015","Massachusetts Gov. Charlie Baker says travel ban restricting driving on state's roadways will be lifted at midnight.","13","198","187","","","","1"
"","CNN Breaking News","Jan 27, 2015","An American contractor was among those killed in a terrorist attack at a Libyan hotel, the man's employer confirms.","19","234","216","https://pbs.twimg.com/card_img/1334755378203140096/XdtaioCm?format=jpg&name=small","https://pbs.twimg.com/card_img/1334755378203140096/XdtaioCm?format=jpg&name=small","http://t.co/2gpSvIX2sI?amp=1","1"
"","Gunmen attack Corinthia Hotel in Libya - CNN","","An American contractor was among those killed in a terrorist attack at a Libyan hotel, the man's employer confirms.","19","234","216","https://pbs.twimg.com/card_img/1334755378203140096/XdtaioCm?format=jpg&name=small","https://pbs.twimg.com/card_img/1334755378203140096/XdtaioCm?format=jpg&name=small","http://t.co/2gpSvIX2sI?amp=1","1"
"","Gunmen who attacked the Corinthia Hotel in Tripoli, Libya, on Tuesday killed at least 10 people, spokesman says.","","An American contractor was among those killed in a terrorist attack at a Libyan hotel, the man's employer confirms.","19","234","216","https://pbs.twimg.com/card_img/1334755378203140096/XdtaioCm?format=jpg&name=small","https://pbs.twimg.com/card_img/1334755378203140096/XdtaioCm?format=jpg&name=small","http://t.co/2gpSvIX2sI?amp=1","1"
"","cnn.com","","An American contractor was among those killed in a terrorist attack at a Libyan hotel, the man's employer confirms.","19","234","216","https://pbs.twimg.com/card_img/1334755378203140096/XdtaioCm?format=jpg&name=small","https://pbs.twimg.com/card_img/1334755378203140096/XdtaioCm?format=jpg&name=small","http://t.co/2gpSvIX2sI?amp=1","1"
"","CNN Breaking News","Jan 27, 2015","Georgia man is charged with murder of couple who went missing after contacting car seller on Craigslist.","41","293","309","","","","1"
"","Georgia man charged with murder in death of couple - CNN","","Georgia man is charged with murder of couple who went missing after contacting car seller on Craigslist.","41","293","309","","","","1"
"","A Georgia man was charged Tuesday with murder in the death of a couple who went missing last week after contacting a car seller on Craigslist, police said.","","Georgia man is charged with murder of couple who went missing after contacting car seller on Craigslist.","41","293","309","","","","1"
"","cnn.com","","Georgia man is charged with murder of couple who went missing after contacting car seller on Craigslist.","41","293","309","","","","1"
"","CNN Breaking News","Jan 27, 2015","Air traffic resumes at New York's LaGuardia Airport. Spirit Airlines says it's 1st major carrier restarting flights.","31","189","285","","","","1"
"","CNN Breaking News","Jan 27, 2015","Army decision on disciplinary action for Sgt. Bowe Bergdahl expected in days.","46","332","312","https://pbs.twimg.com/media/B8YOs86CQAAs_sD?format=jpg&name=small","","","1"
"","CNN Breaking News","Jan 27, 2015","Mormons say they'll back anti-discrimination laws for LGBT people, if the laws respect religious groups' rights.","65","507","401","https://pbs.twimg.com/card_img/1335229756455985154/eSVPNjk4?format=jpg&name=small","https://pbs.twimg.com/card_img/1335229756455985154/eSVPNjk4?format=jpg&name=small","http://t.co/60des7IVTb?amp=1","1"
"","Mormon church backs LGBT rights -- with one condition - CNN","","Mormons say they'll back anti-discrimination laws for LGBT people, if the laws respect religious groups' rights.","65","507","401","https://pbs.twimg.com/card_img/1335229756455985154/eSVPNjk4?format=jpg&name=small","https://pbs.twimg.com/card_img/1335229756455985154/eSVPNjk4?format=jpg&name=small","http://t.co/60des7IVTb?amp=1","1"
