"listing_value","tweets_Name","tweets_Date","tweets_Text","tweets_Replies","tweets_Retweets","tweets_Likes","tweets_Images","tweets_imageURL","tweets_hrefURL","remove"
"1","CNN Breaking News","Jun 17, 2016","Orlando massacre prompts Utah Lt. Gov. to apologize to LGBT community for perpetuating homophobia.","75","820","1.4K","","","","1"
"1","CNN Breaking News","Jun 17, 2016","“Alligators and Snakes in Area,"" Disney's new warning signs read. ""Stay away from the water""","172","796","883","https://pbs.twimg.com/media/ClLle7RVYAAaLGa?format=jpg&name=small","","","1"
"1","CNN Breaking News","Jun 17, 2016","Ban on Russian track and field athletes extended, meaning they could miss Rio Olympics.","72","378","435","https://pbs.twimg.com/media/ClKhU41WkAEkFPW?format=jpg&name=small","","","1"
"1","CNN Breaking News","Jun 17, 2016","Meat Loaf is recovering after collapsing on stage due to dehydration, his spokesman says.","83","412","387","https://pbs.twimg.com/media/ClKLL0aWMAADehc?format=jpg&name=small","","","1"
"1","CNN Breaking News","Jun 17, 2016","Searchers find second black box from EgyptAir Flight 804, Egyptian officials say.","13","241","319","","","","1"
"1","CNN Breaking News","Jun 17, 2016","Iraqi police recaptured central parts of Falluja from ISIS.","24","220","428","","","","1"
"1","Iraqi police recapture central parts of Falluja from ISIS","","Iraqi police recaptured central parts of Falluja from ISIS.","24","220","428","","","","1"
"1","Iraqi Federal Police recaptured the mayor's office building in Falluja and raised the national flag, according to the official Federal Police Facebook page.","","Iraqi police recaptured central parts of Falluja from ISIS.","24","220","428","","","","1"
"1","cnn.com","","Iraqi police recaptured central parts of Falluja from ISIS.","24","220","428","https://pbs.twimg.com/card_img/1334366052541722624/JMtqYCda?format=jpg&name=small","https://pbs.twimg.com/card_img/1334366052541722624/JMtqYCda?format=jpg&name=small","https://t.co/mIKLkIqzOC?amp=1","1"
"1","CNN Breaking News","Jun 17, 2016","Cavaliers force Game 7 in NBA Finals with 115-101 victory over Warriors. Deciding game will be Sunday in Oakland.","60","605","901","","","","1"
"1","CNN Breaking News","Jun 17, 2016","State Department officials call for U.S. military action against Assad regime.","99","356","371","","","","1"
"1","State Department officials call for U.S. military action against Assad regime","","State Department officials call for U.S. military action against Assad regime.","99","356","371","","","","1"
"1","More than 50 State Department officials signed an internal memo protesting U.S. policy in Syria, calling for targeted U.S. military strikes against the regime of Bashar al-Assad and urging regime...","","State Department officials call for U.S. military action against Assad regime.","99","356","371","https://pbs.twimg.com/card_img/1333284082017468421/nJJ_dfZF?format=jpg&name=small","https://pbs.twimg.com/card_img/1333284082017468421/nJJ_dfZF?format=jpg&name=small","https://t.co/Un39Zi1SgZ?amp=1","1"
