"listing_value","tweets_Name","tweets_Date","tweets_Text","tweets_Replies","tweets_Retweets","tweets_Likes","tweets_Images","tweets_imageURL","tweets_hrefURL","remove"
"","CNN Breaking News","Jan 29, 2017","US servicemember dead, 3 others wounded in raid on al Qaeda affiliate in Yemen.","164","530","342","https://pbs.twimg.com/card_img/1334074067696177152/krNgWOPm?format=jpg&name=small","https://pbs.twimg.com/card_img/1334074067696177152/krNgWOPm?format=jpg&name=small","https://t.co/RoZgrpZvuL?amp=1","1"
"","US servicemember killed in raid on al Qaeda in Yemen","","US servicemember dead, 3 others wounded in raid on al Qaeda affiliate in Yemen.","164","530","342","https://pbs.twimg.com/card_img/1334074067696177152/krNgWOPm?format=jpg&name=small","https://pbs.twimg.com/card_img/1334074067696177152/krNgWOPm?format=jpg&name=small","https://t.co/RoZgrpZvuL?amp=1","1"
"","A US Navy Seal died of wounds suffered during a raid in Yemen against al Qaeda -- the first American combat death under President Donald Trump, US Central Command said Sunday.","","US servicemember dead, 3 others wounded in raid on al Qaeda affiliate in Yemen.","164","530","342","https://pbs.twimg.com/card_img/1334074067696177152/krNgWOPm?format=jpg&name=small","https://pbs.twimg.com/card_img/1334074067696177152/krNgWOPm?format=jpg&name=small","https://t.co/RoZgrpZvuL?amp=1","1"
"","cnn.com","","US servicemember dead, 3 others wounded in raid on al Qaeda affiliate in Yemen.","164","530","342","https://pbs.twimg.com/card_img/1334074067696177152/krNgWOPm?format=jpg&name=small","https://pbs.twimg.com/card_img/1334074067696177152/krNgWOPm?format=jpg&name=small","https://t.co/RoZgrpZvuL?amp=1","1"
"","CNN Breaking News","Jan 29, 2017","Roger Federer beats Rafael Nadal in a five-set match in the Australian Open Men's Final winning his 18th grand slam.","40","1K","2K","https://pbs.twimg.com/media/C3VnoAzWEAAX9vw?format=jpg&name=small","","","1"
"","CNN Breaking News","Jan 29, 2017","The Department of Homeland Security says it will comply with judicial orders not to deport detained travelers.","185","2.6K","5K","","","","1"
"","CNN Breaking News","Jan 29, 2017","Federal judge grants emergency stay for citizens in transit from seven countries named in Trump's executive order.","510","4.4K","6.8K","https://pbs.twimg.com/card_img/1334902087923195910/6QAwLJfM?format=jpg&name=small","https://pbs.twimg.com/card_img/1334902087923195910/6QAwLJfM?format=jpg&name=small","https://t.co/wvf4DLwIBZ?amp=1","1"
"","Trump's immigration ban sends shockwaves","","Federal judge grants emergency stay for citizens in transit from seven countries named in Trump's executive order.","510","4.4K","6.8K","https://pbs.twimg.com/card_img/1334902087923195910/6QAwLJfM?format=jpg&name=small","https://pbs.twimg.com/card_img/1334902087923195910/6QAwLJfM?format=jpg&name=small","https://t.co/wvf4DLwIBZ?amp=1","1"
"","President Donald Trump's seismic move to ban more than 218 million people from the United States and to deny entry to all refugees reverberated worldwide Saturday, as chaos and confusion rippled...","","Federal judge grants emergency stay for citizens in transit from seven countries named in Trump's executive order.","510","4.4K","6.8K","https://pbs.twimg.com/card_img/1334902087923195910/6QAwLJfM?format=jpg&name=small","https://pbs.twimg.com/card_img/1334902087923195910/6QAwLJfM?format=jpg&name=small","https://t.co/wvf4DLwIBZ?amp=1","1"
"","cnn.com","","Federal judge grants emergency stay for citizens in transit from seven countries named in Trump's executive order.","510","4.4K","6.8K","https://pbs.twimg.com/card_img/1334902087923195910/6QAwLJfM?format=jpg&name=small","https://pbs.twimg.com/card_img/1334902087923195910/6QAwLJfM?format=jpg&name=small","https://t.co/wvf4DLwIBZ?amp=1","1"
