"listing_value","tweets_Name","tweets_Date","tweets_Text","tweets_Replies","tweets_Retweets","tweets_Likes","tweets_Images","tweets_imageURL","tweets_hrefURL","remove"
"","CNN Breaking News","Sep 30","Initial reports suggest three rockets struck a base where US troops are located in Iraq, a US defense official says. There are no reports of US injuries or damage so far.","96","306","424","","","","1"
"","Rockets strike Iraqi base where US troops are located, US defense official says","","Initial reports suggest three rockets struck a base where US troops are located in Iraq, a US defense official says. There are no reports of US injuries or damage so far.","96","306","424","https://pbs.twimg.com/card_img/1316637781528117248/M0mx0DM2?format=jpg&name=small","https://pbs.twimg.com/card_img/1316637781528117248/M0mx0DM2?format=jpg&name=small","https://t.co/hAymdUhiU9?amp=1","1"
"","Six rockets landed near Erbil International Airport in the semiautonomous Kurdistan region in northern Iraq on Wednesday, according to a statement released by the Ministry of Interior of the Kurdis...","","Initial reports suggest three rockets struck a base where US troops are located in Iraq, a US defense official says. There are no reports of US injuries or damage so far.","96","306","424","https://pbs.twimg.com/card_img/1316637781528117248/M0mx0DM2?format=jpg&name=small","https://pbs.twimg.com/card_img/1316637781528117248/M0mx0DM2?format=jpg&name=small","https://t.co/hAymdUhiU9?amp=1","1"
"","cnn.com","","Initial reports suggest three rockets struck a base where US troops are located in Iraq, a US defense official says. There are no reports of US injuries or damage so far.","96","306","424","https://pbs.twimg.com/card_img/1316637781528117248/M0mx0DM2?format=jpg&name=small","https://pbs.twimg.com/card_img/1316637781528117248/M0mx0DM2?format=jpg&name=small","https://t.co/hAymdUhiU9?amp=1","1"
"","CNN Breaking News","Sep 30","The Senate has approved a stopgap spending bill in order to avert a government shutdown just hours before funding was set to expire","164","138","341","https://pbs.twimg.com/card_img/1319039636702859265/U4tbO1c5?format=jpg&name=small","https://pbs.twimg.com/card_img/1319039636702859265/U4tbO1c5?format=jpg&name=small","https://t.co/7cdxO2SXTI?amp=1","1"
"","Senate approves stopgap bill to prevent shutdown ahead of midnight deadline","","The Senate has approved a stopgap spending bill in order to avert a government shutdown just hours before funding was set to expire","164","138","341","https://pbs.twimg.com/card_img/1319039636702859265/U4tbO1c5?format=jpg&name=small","https://pbs.twimg.com/card_img/1319039636702859265/U4tbO1c5?format=jpg&name=small","https://t.co/7cdxO2SXTI?amp=1","1"
"","The Senate on Wednesday approved a stopgap spending bill in order to avert a government shutdown just hours before a midnight deadline when funding is set to expire.","","The Senate has approved a stopgap spending bill in order to avert a government shutdown just hours before funding was set to expire","164","138","341","https://pbs.twimg.com/card_img/1319039636702859265/U4tbO1c5?format=jpg&name=small","https://pbs.twimg.com/card_img/1319039636702859265/U4tbO1c5?format=jpg&name=small","https://t.co/7cdxO2SXTI?amp=1","1"
"","cnn.com","","The Senate has approved a stopgap spending bill in order to avert a government shutdown just hours before funding was set to expire","164","138","341","https://pbs.twimg.com/card_img/1319039636702859265/U4tbO1c5?format=jpg&name=small","https://pbs.twimg.com/card_img/1319039636702859265/U4tbO1c5?format=jpg&name=small","https://t.co/7cdxO2SXTI?amp=1","1"
"","CNN Breaking News","Sep 30","Seven people were shot at a funeral home in Milwaukee and are being treated for their injuries at a local hospital, police officials say","88","191","296","https://pbs.twimg.com/card_img/1316848250201276418/lpNpgv4W?format=jpg&name=small","https://pbs.twimg.com/card_img/1316848250201276418/lpNpgv4W?format=jpg&name=small","https://t.co/bu2k9SpEsB?amp=1","1"
"","Seven people shot at Milwaukee funeral home, police say","","Seven people were shot at a funeral home in Milwaukee and are being treated for their injuries at a local hospital, police officials say","88","191","296","https://pbs.twimg.com/card_img/1316848250201276418/lpNpgv4W?format=jpg&name=small","https://pbs.twimg.com/card_img/1316848250201276418/lpNpgv4W?format=jpg&name=small","https://t.co/bu2k9SpEsB?amp=1","1"
"","Seven people were shot at a funeral home in Milwaukee on Wednesday, police officials said.","","Seven people were shot at a funeral home in Milwaukee and are being treated for their injuries at a local hospital, police officials say","88","191","296","https://pbs.twimg.com/card_img/1316848250201276418/lpNpgv4W?format=jpg&name=small","https://pbs.twimg.com/card_img/1316848250201276418/lpNpgv4W?format=jpg&name=small","https://t.co/bu2k9SpEsB?amp=1","1"
"","cnn.com","","Seven people were shot at a funeral home in Milwaukee and are being treated for their injuries at a local hospital, police officials say","88","191","296","https://pbs.twimg.com/card_img/1316848250201276418/lpNpgv4W?format=jpg&name=small","https://pbs.twimg.com/card_img/1316848250201276418/lpNpgv4W?format=jpg&name=small","https://t.co/bu2k9SpEsB?amp=1","1"
