"listing_value","tweets_Name","tweets_Date","tweets_Text","tweets_Replies","tweets_Retweets","tweets_Likes","tweets_Images","tweets_imageURL","tweets_hrefURL","remove"
"","CNN Breaking News","Mar 31","Maine's governor has issued a ""stay healthy at home"" directive that requires people living in the state to stay at home at all times, unless for an essential job or an essential personal reason","56","158","614","https://pbs.twimg.com/media/EUeWPxfXQAAFk75?format=jpg&name=small","","","1"
"","CNN Breaking News","Mar 31","At least three tornadoes touched down in multiple locations across Alabama and Mississippi","30","196","340","https://pbs.twimg.com/media/EUdjnTQXgAIOweS?format=jpg&name=small","","","1"
"","CNN Breaking News","Mar 31","CNN anchor Chris Cuomo has been diagnosed with coronavirus. He is feeling well, and will continue to do his program from home.","1.1K","2.3K","7.3K","https://pbs.twimg.com/media/EUcumqZWkAc1KAT?format=jpg&name=small","","","1"
"","CNN Breaking News","Mar 31","The average price of a gallon of gas has fallen below $2 in the US -- the lowest price in four years, according to AAA","148","385","1K","https://pbs.twimg.com/media/EUcrRXHWAAMHyEm?format=jpg&name=small","","","1"
"","CNN Breaking News","Mar 31","Dr. Anthony Fauci says social distancing measures appear to be working — but stresses that the coronavirus pandemic is still a very serious situation. Follow live updates:","86","393","1.3K","https://pbs.twimg.com/media/EUcdnXgXQAEn2LM?format=jpg&name=small","","","1"
"","CNN Breaking News","Mar 31","A New Orleans official says the city is readying for an uptick in coronavirus-related deaths. In a community of about 400,000 people, the Louisiana city is tracking at about 5% mortality rate, he said.","33","155","327","https://pbs.twimg.com/media/EUcYbofXYAYREtd?format=jpg&name=small","","","1"
"","CNN Breaking News","Mar 31","Maryland Gov. Larry Hogan calls out the need for coordinated coronavirus testing, saying, ""Without the tests, we really are flying blind."" Follow live updates:","103","398","1.3K","https://pbs.twimg.com/media/EUcOJBbX0AAHxf4?format=jpg&name=small","","","1"
"","CNN Breaking News","Mar 31","At least 575 coronavirus deaths were reported in the US Monday, according to a count by CNN Health. It's the most reported US deaths in a single day since the outbreak began.","134","464","829","https://pbs.twimg.com/media/EUbrGX0WsAEeYuK?format=jpg&name=small","","","1"
"","CNN Breaking News","Mar 31","More than 3,000 people in the US have died from coronavirus, according to a CNN tally","177","429","791","https://pbs.twimg.com/card_img/1319136079753207808/bbWrbkhl?format=jpg&name=small","https://pbs.twimg.com/card_img/1319136079753207808/bbWrbkhl?format=jpg&name=small","https://t.co/ctb7l70mCY?amp=1","1"
"","There are now more than 3,000 coronavirus deaths in the US","","More than 3,000 people in the US have died from coronavirus, according to a CNN tally","177","429","791","https://pbs.twimg.com/card_img/1319136079753207808/bbWrbkhl?format=jpg&name=small","https://pbs.twimg.com/card_img/1319136079753207808/bbWrbkhl?format=jpg&name=small","https://t.co/ctb7l70mCY?amp=1","1"
"","At least 3,003 people have died in the US from coronavirus, according to CNN Health's tally.","","More than 3,000 people in the US have died from coronavirus, according to a CNN tally","177","429","791","https://pbs.twimg.com/card_img/1319136079753207808/bbWrbkhl?format=jpg&name=small","https://pbs.twimg.com/card_img/1319136079753207808/bbWrbkhl?format=jpg&name=small","https://t.co/ctb7l70mCY?amp=1","1"
"","cnn.com","","More than 3,000 people in the US have died from coronavirus, according to a CNN tally","177","429","791","https://pbs.twimg.com/card_img/1319136079753207808/bbWrbkhl?format=jpg&name=small","https://pbs.twimg.com/card_img/1319136079753207808/bbWrbkhl?format=jpg&name=small","https://t.co/ctb7l70mCY?amp=1","1"
