,listing_value,tweets_Name,tweets_Date,tweets_Text,tweets_Replies,tweets_Retweets,tweets_Likes,tweets_Images,tweets_imageURL,tweets_hrefURL,remove
0,1.0,CNN Breaking News,"Dec 31, 2018",Chicago murder rate drops for second year in a row,125,224,1.1K,https://pbs.twimg.com/media/DvyAmLIXcAg_8Vx?format=jpg&name=small,,,1
1,1.0,CNN Breaking News,"Dec 31, 2018",2018 was one investors would rather forget. US stocks had their worst year in a decade and the Dow and S&P 500 had their worst December since 1931.,150,325,425,https://pbs.twimg.com/media/DvxotzOX0AIEosf?format=jpg&name=small,,,1
2,1.0,CNN Breaking News,"Dec 31, 2018","Colorado prosecutors file five charges against Patrick Frazee in the death of Kelsey Berreth, his missing fiancee and mother of his 1-year-old daughter",54,107,315,https://pbs.twimg.com/media/Dvwya3QWsAQY4fe?format=jpg&name=small,,,1
3,1.0,CNN Breaking News,"Dec 31, 2018","Authorities are hunting for a man who shot into a car as it left a Houston-area Walmart Sunday, killing 7-year-old Jazmine Barnes. The suspect is described as a white male in his 40s who fled the scene in a red truck.",283,2K,1.6K,https://pbs.twimg.com/media/DvwX1ZyWkAEO7qw?format=jpg&name=small,,,1
4,1.0,CNN Breaking News,"Dec 31, 2018",Sen. Elizabeth Warren launches a presidential exploratory committee ahead of an expected run for the Democratic nomination in 2020,530,446,1.3K,https://pbs.twimg.com/media/Dvv6wWqX0AAhGbR?format=jpg&name=small,,,1
5,1.0,CNN Breaking News,"Dec 31, 2018","Vatican spokesman Greg Burke and his deputy, Paloma Garcia Ovejero, have resigned, according to an official statement",32,105,173,https://pbs.twimg.com/media/Dvv0X8kWoAA0h4m?format=jpg&name=small,,,1
6,1.0,CNN Breaking News,"Dec 31, 2018","Tropical depression Usman's toll in the Philippines climbs to 68 people killed, the national disaster agency says",9,102,151,https://pbs.twimg.com/media/Dvv0N8mXQAAh30Z?format=jpg&name=small,,,1
7,1.0,CNN Breaking News,"Dec 31, 2018","Search and rescue efforts are ongoing after a suspected gas explosion at an apartment building in Magnitogorsk, Russia. State media reports at least four people have died and dozens are missing.",17,65,111,https://pbs.twimg.com/media/Dvvs6n8X0AARYr-?format=jpg&name=small,,,1
8,1.0,CNN Breaking News,"Dec 31, 2018","At least two people were killed and 23 wounded in an explosion outside a shopping mall in the southern Philippines, officials said.",27,166,265,https://pbs.twimg.com/card_img/1330379983471087616/o2Dn3Z4J?format=jpg&name=small,https://pbs.twimg.com/card_img/1330379983471087616/o2Dn3Z4J?format=jpg&name=small,https://t.co/ybnacfPF3o?amp=1,1
9,1.0,"2 dead, 23 wounded in blast outside Philippines shopping mall",,"At least two people were killed and 23 wounded in an explosion outside a shopping mall in the southern Philippines, officials said.",27,166,265,https://pbs.twimg.com/card_img/1330379983471087616/o2Dn3Z4J?format=jpg&name=small,https://pbs.twimg.com/card_img/1330379983471087616/o2Dn3Z4J?format=jpg&name=small,https://t.co/ybnacfPF3o?amp=1,1
10,1.0,At least two people were killed in an explosion outside a busy shopping mall in the southern Philippines Monday.,,"At least two people were killed and 23 wounded in an explosion outside a shopping mall in the southern Philippines, officials said.",27,166,265,https://pbs.twimg.com/card_img/1330379983471087616/o2Dn3Z4J?format=jpg&name=small,https://pbs.twimg.com/card_img/1330379983471087616/o2Dn3Z4J?format=jpg&name=small,https://t.co/ybnacfPF3o?amp=1,1
11,1.0,cnn.com,,"At least two people were killed and 23 wounded in an explosion outside a shopping mall in the southern Philippines, officials said.",27,166,265,https://pbs.twimg.com/card_img/1330379983471087616/o2Dn3Z4J?format=jpg&name=small,https://pbs.twimg.com/card_img/1330379983471087616/o2Dn3Z4J?format=jpg&name=small,https://t.co/ybnacfPF3o?amp=1,1
12,1.0,CNN Breaking News,"Dec 31, 2018","At least three people are dead and dozens are missing after an explosion rocked an apartment building in the southern Russian city of Magnitogorsk, state media reported.",56,187,267,https://pbs.twimg.com/card_img/1330974138262020097/WBEpKJcy?format=jpg&name=small,https://pbs.twimg.com/card_img/1330974138262020097/WBEpKJcy?format=jpg&name=small,https://t.co/kLAixdq7VR?amp=1,1
13,1.0,"8 dead, 36 missing in Russian building blast",,"At least three people are dead and dozens are missing after an explosion rocked an apartment building in the southern Russian city of Magnitogorsk, state media reported.",56,187,267,https://pbs.twimg.com/card_img/1330974138262020097/WBEpKJcy?format=jpg&name=small,https://pbs.twimg.com/card_img/1330974138262020097/WBEpKJcy?format=jpg&name=small,https://t.co/kLAixdq7VR?amp=1,1
14,1.0,At least eight people are dead and dozens missing after an explosion in an apartment building in southern Russia.,,"At least three people are dead and dozens are missing after an explosion rocked an apartment building in the southern Russian city of Magnitogorsk, state media reported.",56,187,267,https://pbs.twimg.com/card_img/1330974138262020097/WBEpKJcy?format=jpg&name=small,https://pbs.twimg.com/card_img/1330974138262020097/WBEpKJcy?format=jpg&name=small,https://t.co/kLAixdq7VR?amp=1,1
15,1.0,cnn.com,,"At least three people are dead and dozens are missing after an explosion rocked an apartment building in the southern Russian city of Magnitogorsk, state media reported.",56,187,267,https://pbs.twimg.com/card_img/1330974138262020097/WBEpKJcy?format=jpg&name=small,https://pbs.twimg.com/card_img/1330974138262020097/WBEpKJcy?format=jpg&name=small,https://t.co/kLAixdq7VR?amp=1,1
16,1.0,CNN Breaking News,"Dec 31, 2018","A lion killed a college intern Sunday at a North Carolina zoological park after it escaped a locked enclosure during a routine cleaning, officials said",119,217,346,https://pbs.twimg.com/media/DvtboNTWkAA_EfN?format=jpg&name=small,,,1
17,1.0,CNN Breaking News,"Dec 31, 2018",A federal judge who ruled part of the Affordable Care Act unconstitutional says the law will remain in effect while it's being appealed,70,209,578,https://pbs.twimg.com/media/DvtR12CX4AAH-aY?format=jpg&name=small,,,1
