"listing_value","tweets_Name","tweets_Date","tweets_Replies","tweets_Retweets","tweets_Likes","tweets_Text","tweets_Images","tweets_imageURL","tweets_hrefURL","remove"
"","CNN Breaking News","Jun 4, 2013","13","48","15","N.J. Gov. Christie says he has yet to decide who will hold Lautenberg's seat until the Oct. 16 special election.","","","","1"
"","CNN Breaking News","Jun 4, 2013","10","83","19","New Jersey Gov. Christie sets Aug. 13 primary, Oct. 16 special election following Sen. Lautenberg's death.","","","","1"
"","CNN Breaking News","Jun 4, 2013","175","724","37","Judge accepts plea of not guilty by reason of insanity for Aurora theater shooting suspect James Holmes. http://on.cnn.com/12rcUM3","","","","1"
"","CNN Breaking News","Jun 4, 2013","31","180","34","IRS spent $4.1 million, with ""questionable expenses,"" on 2010 conference, inspector general says. http://on.cnn.com/15y2QOj","","","","1"
"","CNN Breaking News","Jun 4, 2013","4","54","9","Relief ahead for flood-threatened Missouri community? Rivers appear to be cresting, spokeswoman says. http://on.cnn.com/12rahd8","","","","1"
"","CNN Breaking News","Jun 4, 2013","10","63","16","At hearing, military chiefs oppose removing commanders from sexual assault probes. http://on.cnn.com/15xT4f8","","","","1"
"","CNN Breaking News","Jun 4, 2013","21","199","21","But, Turkish deputy PM adds, no apology owed ""to those who caused destruction on the streets."" http://on.cnn.com/12qRxKI","","","","1"
"","CNN Breaking News","Jun 4, 2013","12","181","20","Turkish deputy PM apologizes for ""police aggression"" against initial Istanbul protesters. http://on.cnn.com/12qRxKI","","","","1"
"","CNN Breaking News","Jun 4, 2013","59","522","83","Miami Heat puts big-time burn on Pacers 99-76 in Game 7 of NBA East finals.","https://pbs.twimg.com/card_img/1336838816053809152/mDXem17M?format=jpg&name=small","https://pbs.twimg.com/card_img/1336838816053809152/mDXem17M?format=jpg&name=small","http://t.co/K5g0ZLuuZm?amp=1","1"
"","Pacers vs Heat Game 7: Live Score, Highlights and Analysis","","59","522","83","Miami Heat puts big-time burn on Pacers 99-76 in Game 7 of NBA East finals.","https://pbs.twimg.com/card_img/1336838816053809152/mDXem17M?format=jpg&name=small","https://pbs.twimg.com/card_img/1336838816053809152/mDXem17M?format=jpg&name=small","http://t.co/K5g0ZLuuZm?amp=1","1"
"","LeBron James dominated with 32 points and Dwyane Wade had his best game of the series with 21 points and 9 rebounds to lead the Heat to a 99-76 victory over the Pacers in Game 7...","","59","522","83","Miami Heat puts big-time burn on Pacers 99-76 in Game 7 of NBA East finals.","https://pbs.twimg.com/card_img/1336838816053809152/mDXem17M?format=jpg&name=small","https://pbs.twimg.com/card_img/1336838816053809152/mDXem17M?format=jpg&name=small","http://t.co/K5g0ZLuuZm?amp=1","1"
"","bleacherreport.com","","59","522","83","Miami Heat puts big-time burn on Pacers 99-76 in Game 7 of NBA East finals.","https://pbs.twimg.com/card_img/1336838816053809152/mDXem17M?format=jpg&name=small","https://pbs.twimg.com/card_img/1336838816053809152/mDXem17M?format=jpg&name=small","http://t.co/K5g0ZLuuZm?amp=1","1"
"","CNN Breaking News","Jun 4, 2013","72","307","53","Miami Heat leads Indiana Pacers 52-37 at halftime in Game 7.","https://pbs.twimg.com/card_img/1336838816053809152/mDXem17M?format=jpg&name=small","https://pbs.twimg.com/card_img/1336838816053809152/mDXem17M?format=jpg&name=small","http://t.co/K5g0ZLuuZm?amp=1","1"
"","Pacers vs Heat Game 7: Live Score, Highlights and Analysis","","72","307","53","Miami Heat leads Indiana Pacers 52-37 at halftime in Game 7.","https://pbs.twimg.com/card_img/1336838816053809152/mDXem17M?format=jpg&name=small","https://pbs.twimg.com/card_img/1336838816053809152/mDXem17M?format=jpg&name=small","http://t.co/K5g0ZLuuZm?amp=1","1"
"","LeBron James dominated with 32 points and Dwyane Wade had his best game of the series with 21 points and 9 rebounds to lead the Heat to a 99-76 victory over the Pacers in Game 7...","","72","307","53","Miami Heat leads Indiana Pacers 52-37 at halftime in Game 7.","https://pbs.twimg.com/card_img/1336838816053809152/mDXem17M?format=jpg&name=small","https://pbs.twimg.com/card_img/1336838816053809152/mDXem17M?format=jpg&name=small","http://t.co/K5g0ZLuuZm?amp=1","1"
"","bleacherreport.com","","72","307","53","Miami Heat leads Indiana Pacers 52-37 at halftime in Game 7.","https://pbs.twimg.com/card_img/1336838816053809152/mDXem17M?format=jpg&name=small","https://pbs.twimg.com/card_img/1336838816053809152/mDXem17M?format=jpg&name=small","http://t.co/K5g0ZLuuZm?amp=1","1"
"","CNN Breaking News","Jun 3, 2013","61","243","46","11 people disappear from #Mexico City bar; relatives seek answers. http://on.cnn.com/14pZOch","","","","1"
"","CNN Breaking News","Jun 3, 2013","16","54","11","Judge: Ft. Hood suspect Maj. Nidal Hasan can represent himself in court-martial. http://on.cnn.com/14oZcDO","","","","1"
"","CNN Breaking News","Jun 3, 2013","10","69","8","U.S. manufacturing activity shrank for the first time in six months, report says. http://on.cnn.com/14ooiCO","","","","1"
"","CNN Breaking News","Jun 3, 2013","86","308","48","Supreme Court: DNA swab after arrest is legitimate search. http://on.cnn.com/14oneie","","","","1"
"","CNN Breaking News","Jun 3, 2013","6","129","25","Obit of Sen. Frank Lautenberg, who was the Senate's last remaining World War II veteran: http://on.cnn.com/11R6gNJ","","","","1"
"","CNN Breaking News","Jun 3, 2013","17","149","11","U.S. Sen. Frank Lautenberg, D-New Jersey, has died at 89, two sources tell CNN.","","","","1"
"","CNN Breaking News","Jun 3, 2013","42","381","42","Oklahoma tornado death toll jumps to 16, six still missing http://on.cnn.com/ZGcdgd","","","","1"
"","CNN Breaking News","Jun 3, 2013","36","118","47","Family of Oscar #Pistorius 'shaken' by leaked crime-scene photos. http://on.cnn.com/ZFAfIf","","","","1"
"","CNN Breaking News","Jun 2, 2013","54","229","42","Teenager swept over 600-foot waterfall at Yosemite. http://on.cnn.com/11xzRpg","","","","1"
"","CNN Breaking News","Jun 2, 2013","57","455","58","Three patients are first in Italy to contract deadly MERS-CoV virus. http://on.cnn.com/11xusi2","","","","1"
"","CNN Breaking News","Jun 2, 2013","122","642","77","Three storm chasers among #Oklahoma fatalities. http://on.cnn.com/18HkzEK","","","","1"
"","CNN Breaking News","Jun 2, 2013","13","153","19","Car bomb near Damascus police station kills 8 members of security forces, wounds civilians. http://on.cnn.com/15sCbST","","","","1"
"","CNN Breaking News","Jun 2, 2013","54","867","79","A magnitude 6.5 earthquake struck central Taiwan this morning. No tsunami warning issued by the Pacific Tsunami Warning Center.","","","","1"
"","CNN Breaking News","Jun 1, 2013","156","982","122","Jean Stapleton, who starred in 'All in the Family,' has died at age 90. http://on.cnn.com/ZC5MuH","","","","1"
"","CNN Breaking News","Jun 1, 2013","85","1K","84","939 people detained as anti-government protests spread in Turkey. http://on.cnn.com/18FS5es","","","","1"
"","CNN Breaking News","Jun 1, 2013","5","88","22","Second suspect charged with murder in UK soldier's slaying. http://on.cnn.com/10HmqYh","","","","1"
"","CNN Breaking News","Jun 1, 2013","22","161","29","Iraqi forces raid suspected terror cell making chemical compounds for sarin, mustard, nerve gases. http://on.cnn.com/146Grs8","","","","1"
"","CNN Breaking News","Jun 1, 2013","80","571","79","Official: 7 adults, 2 children killed in Friday's storms in #Oklahoma. http://on.cnn.com/10G4AVD","","","","1"
"","CNN Breaking News","Jun 1, 2013","61","420","34","At least 14 injured in Istanbul crackdown on protesters. http://on.cnn.com/18FS5es","","","","1"
"","CNN Breaking News","Jun 1, 2013","14","181","27","Storms leave more than 210,000 customers without power in Midwest. http://on.cnn.com/10G4AVD","","","","1"
"","CNN Breaking News","Jun 1, 2013","29","234","30","Flooding closes parts of more than 200 roads in Missouri. http://on.cnn.com/13amHmp","","","","1"
"","CNN Breaking News","Jun 1, 2013","25","376","41","5 tornadoes hit in/around Oklahoma City yesterday, according to preliminary count by
@usNWSgov
. http://on.cnn.com/10G4AVD","","","","1"
"","CNN Breaking News","Jun 1, 2013","16","207","22","Oklahoma City airport expected to reopen in next hour, spokesperson says, even though part of terminal roof is gone. http://on.cnn.com/10G4AVD","","","","1"
