,tweets_Text,has_image,has_Link,tweets_ResponseCategory
0,initial reports suggest three rockets struck base us troops located iraq us defense official says reports us injuries damage far,0,0,1
1,senate approved stopgap spending bill order avert government shutdown hours funding set expire,1,1,2
2,seven people shot funeral home milwaukee treated injuries local hospital police officials say,1,1,1
3,clare bronfman heiress seagram liquor fortune sentenced nearly seven years prison charges stemming involvement cultlike group nxivm,1,1,0
4,trump plans participate next two presidential debates campaign says,1,0,2
5,kentucky attorney general daniel camerons office says given noon friday release grand jury recordings breonna taylor case,1,1,1
6,aftermath offtherails debate biden trump commission presidential debates says considering structural changes moving forward,1,0,2
7,would say main done book appropriate essential done comey said russia investigation hearing senate judiciary committee today,1,1,1
8,nfl postpones sundays pittsburgh steelerstennessee titans game,1,0,0
9,kentucky attorney general daniel cameron asked oneweek delay release grand jury recordings breonna taylor case,1,1,2
10,bureau economic analysis publishes third look us gross domestic product broadest measure economy,1,0,0
11,serena williams pulled french open ahead scheduled second round match tsvetana pironkova,1,1,1
12,president trump get first question joe biden hit debate stage follow live,1,0,1
13,federal judge california blocked trump administration rule wouldve hiked naturalization fees 80 charged firsttime fee asylum applicants days regulation set take effect,1,1,1
14,disney laying 28000 us workers coronavirus pandemic hammers theme park business,1,1,2
15,joe biden wife paid nearly 300000 federal income tax last year sen kamala harris released 2019 returns well,1,1,2
16,nearly 100000 brooklyn voters sent new ballots may received absentee ballot return envelopes wrong address names printed new york city board elections says,1,1,2
17,two nfl teams suspend inperson activities following positive covid19 test results,1,0,0
18,new york city could implement covid19 restrictions early tomorrow mayor bill de blasio says,1,0,1
19,us stocks open lower investors skeptical new stimulus plan,1,0,1
20,emir kuwait sheikh sabah alahmad aljaber alsabah died age 91 ruling gulf state 14 years,1,1,1
21,multiple people killed hostage situation salem oregon officials say sheriffs office didnt say many people died,1,1,2
22,coronavirus killed 1 million people worldwide experts fear toll may double vaccine ready,1,1,2
23,microsoft 365 monday evening across us affecting users access multiple services including outlook,1,1,1
24,trump paid federal income taxes whatsoever 10 past 15 years beginning 2000 new york times report says,1,1,2
25,joe biden never nations history supreme court justice nominated installed presidential election already underway defies every precedent,1,0,2
26,joe biden says trumps nomination amy coney barrett supreme court senate republicans promise quickly confirm overturning obamacare,1,0,2
27,joe biden responds trump nominating amy coney barrett supreme court follow live updates,1,1,1
28,senate judiciary chairman lindsey graham says committee approve amy coney barretts supreme court nomination october 22 setting full senate vote end month,1,1,2
29,house speaker nancy pelosi criticizes trumps swift move make supreme court pick saying hes moving quickly fill vacancy court hears case affordable care act,1,0,2
30,house speaker nancy pelosi jill biden appear state union wake amy coney barretts nomination supreme court,1,1,1
31,police louisville arrested 28 people saturday night protesters demanding justice breonna taylor took street,1,1,2
32,suspect custody officer injured los angeles police departments harbor community station authorities say,1,1,0
33,federal prosecutor massachusetts accuses attorney general william barr dangerous abuse power politicizing position,1,1,2
34,president trump nominating conservative federal appeals court judge amy coney barrett succeed ruth bader ginsburg supreme court,1,0,2
35,hurricane force wind warning issued parts gulf alaska seas higher 25 feet forecast,1,1,1
36,residents lake jackson texas told use water braineating amoeba found supply seven southeast texas cities warned since cleared,1,1,2
37,local officials pennsylvania say nine ballots discarded error temporary seasonal independent contractor justice department says seven ballots president trump,1,1,2
38,least 25 people killed ukrainian air force transport plane crashed near chuguev officials say,1,1,0
39,powerful vatican cardinal resigned says accused embezzlement,1,1,1
40,two officials massachusetts veterans home indicted deadly coronavirus outbreak facility,1,1,1
