"listing_value","tweets_Name","tweets_Date","tweets_Text","tweets_Retweets","tweets_Likes","tweets_Replies","tweets_Images","tweets_imageURL","tweets_hrefURL","remove"
"","CNN Breaking News","Mar 19, 2011","grounds for a ""crusade war."" http://on.cnn.com/grO2Tz","318","16","","","","","1"
"","CNN Breaking News","Mar 19, 2011",", Pentagon says. http://on.cnn.com/egCFuF","330","20","","","","","1"
"","CNN Breaking News","Mar 19, 2011","arms depots to the people. http://on.cnn.com/grO2Tz","200","14","","","","","1"
"","CNN Breaking News","Mar 19, 2011","people to take up arms in ""war zone."" http://on.cnn.com/grO2Tz","190","10","","","","","1"
"","CNN Breaking News","Mar 19, 2011",", urges end to violence. http://on.cnn.com/grO2Tz","228","12","","","","","1"
"","CNN Breaking News","Mar 19, 2011","capital. http://on.cnn.com/grO2Tz","93","6","","","","","1"
"","CNN Breaking News","Mar 19, 2011","spokesman: Libya faces ""barbaric and armed attack."" http://on.cnn.com/grO2Tz","133","5","","","","","1"
"","CNN Breaking News","Mar 19, 2011","spokesman: Coalition attacks ""harm civilians."" http://on.cnn.com/grO2Tz","104","9","","","","","1"
"","CNN Breaking News","Mar 19, 2011","lasting only days. http://on.cnn.com/grO2Tz","220","13","","","","","1"
"","CNN Breaking News","Mar 19, 2011","from U.S., British ships. http://on.cnn.com/grO2Tz","881","28","","","","","1"
"","CNN Breaking News","Mar 19, 2011",". http://on.cnn.com/grO2Tz","209","7","","","","","1"
"","CNN Breaking News","Mar 19, 2011",". http://on.cnn.com/grO2Tz","763","27","","","","","1"
"","CNN Breaking News","Mar 19, 2011","with cruise missiles from warships. http://on.cnn.com/grO2Tz","282","13","","","","","1"
"","CNN Breaking News","Mar 19, 2011","civilians. http://on.cnn.com/htrK21","150","18","","","","","1"
"","CNN Breaking News","Mar 19, 2011","town of Benghazi as 'exclusion zone.' http://on.cnn.com/htrK21","82","12","","","","","1"
"","CNN Breaking News","Mar 19, 2011","military vehicle, French Defense Ministry says. http://on.cnn.com/grO2Tz","629","46","","","","","1"
"","CNN Breaking News","Mar 19, 2011",", saying it ""changed the diplomatic landscape."" http://on.cnn.com/grO2Tz","129","11","","","","","1"
"","CNN Breaking News","Mar 19, 2011","government ""has lost all legitimacy."" http://on.cnn.com/grO2Tz","136","8","","","","","1"
"","CNN Breaking News","Mar 19, 2011",". http://on.cnn.com/htrK21","164","11","","","","","1"
"","CNN Breaking News","Mar 19, 2011","must be protected."" http://on.cnn.com/htrK21","172","13","","","","","1"
"","CNN Breaking News","Mar 19, 2011","civilians ""murderous madness"" of regime that has ""forfeited all its legitimacy."" http://on.cnn.com/fYXEmM","206","14","","","","","1"
"","CNN Breaking News","Mar 19, 2011",". http://on.cnn.com/grO2Tz","267","16","","","","","1"
"","CNN Breaking News","Mar 19, 2011",". http://on.cnn.com/grO2Tz","400","22","","","","","1"
"","CNN Breaking News","Mar 19, 2011",". http://on.cnn.com/dYmNlD","132","11","","","","","1"
"","CNN Breaking News","Mar 19, 2011","Tanks from pro-government and opposition sides head toward each other in Benghazi, Libya. http://on.cnn.com/htrK21","146","21","","","","","1"
"","CNN Breaking News","Mar 19, 2011","Gadhafi to Obama, Sarkozy: Butt out. http://on.cnn.com/grO2Tz","178","22","","","","","1"
"","CNN Breaking News","Mar 19, 2011","in Japan rises to 7,348. http://on.cnn.com/fAVZuj","492","24","","","","","1"
"","CNN Breaking News","Mar 19, 2011","Obama arrives in Brazil. http://on.cnn.com/ffy67p","167","20","","","","","1"
"","CNN Breaking News","Mar 19, 2011","Fighter jet shot down over rebel-held Libyan city. http://on.cnn.com/dZBemS","144","20","","","","","1"
"","CNN Breaking News","Mar 19, 2011","Man reported to be trapped in rubble of Japan quake was actually visiting home after spending days in shelter http://on.cnn.com/i3TCAg","257","23","","","","","1"
"","CNN Breaking News","Mar 19, 2011","hit nuclear plant http://on.cnn.com/eXn6I1","188","19","","","","","1"
"","CNN Breaking News","Mar 19, 2011","NRC tells U.S. nuclear plants to review Fukushima, take actions ""as appropriate"" http://on.cnn.com/hVbknY","82","24","","","","","1"
"","CNN Breaking News","Mar 19, 2011","has no serious injuries, NHK reports http://on.cnn.com/i3TCAg","291","34","","","","","1"
"","CNN Breaking News","Mar 19, 2011","death toll of 7,197 worst since World War II, NHK reports http://on.cnn.com/i3TCAg","594","20","","","","","1"
"","CNN Breaking News","Mar 19, 2011",", Japan media reports http://on.cnn.com/i3TCAg","412","25","","","","","1"
"","CNN Breaking News","Mar 19, 2011","damaged nuclear plant http://on.cnn.com/exc3ss","267","46","","","","","1"
"","CNN Breaking News","Mar 19, 2011","damaged nuclear reactors http://on.cnn.com/exc3ss","132","22","","","","","1"
"","CNN Breaking News","Mar 19, 2011","Utah officially adopts Browning M1911 pistol as state firearm http://on.cnn.com/ifLIzh","187","27","","","","","1"
"","CNN Breaking News","Mar 18, 2011","doesn't preclude arming rebels, U.S. ambassador says http://on.cnn.com/em25Kv","70","10","","","","","1"
"","CNN Breaking News","Mar 18, 2011","in Calif. one-millionth what we get from rocks, the sun http://on.cnn.com/hkRv6O","287","31","","","","","1"
"","CNN Breaking News","Mar 18, 2011","calls for observers from China, Malta, Turkey, Germany to monitor cease-fire http://on.cnn.com/eEAOec","91","13","","","","","1"
"","CNN Breaking News","Mar 18, 2011","aid and relief: How you can help http://on.cnn.com/fAXNkc","289","23","","","","","1"
"","CNN Breaking News","Mar 18, 2011","Letters of censure for Capt. Honors, 3 others over USS Enterprise video scandal http://on.cnn.com/e1haCg","27","12","","","","","1"
"","CNN Breaking News","Mar 18, 2011",", Obama says http://on.cnn.com/dZBemS","152","14","","","","","1"
"","CNN Breaking News","Mar 18, 2011","doesn't comply, U.N. resolution will be imposed militarily http://on.cnn.com/dZBemS","143","8","","","","","1"
"","CNN Breaking News","Mar 18, 2011","Obama: ""Left unchecked ... Gadhafi (will) commit atrocities"" http://on.cnn.com/dZBemS","75","10","","","","","1"
"","CNN Breaking News","Mar 18, 2011","cities, opposition spokesman says. http://on.cnn.com/dZBemS","152","10","","","","","1"
"","CNN Breaking News","Mar 18, 2011",". http://on.cnn.com/gm9nqM","124","3","","","","","1"
"","CNN Breaking News","Mar 18, 2011","reaches California, official says. http://on.cnn.com/i3TCAg","1K","62","","","","","1"
"","CNN Breaking News","Mar 18, 2011","judge blocks budget proposal. http://on.cnn.com/hUoAUw","128","9","","","","","1"
"","CNN Breaking News","Mar 18, 2011","cease-fire announcement. http://on.cnn.com/dZBemS","118","6","","","","","1"
"","CNN Breaking News","Mar 18, 2011","aftershocks set record, agency says. http://on.cnn.com/i3TCAg","169","15","","","","","1"
"","CNN Breaking News","Mar 18, 2011","demolishes Pearl Monument, site of anti-government protests. http://on.cnn.com/hYE7yR","124","11","","","","","1"
"","CNN Breaking News","Mar 18, 2011",". http://on.cnn.com/eHoivr","189","16","","","","","1"
"","CNN Breaking News","Mar 18, 2011","to Guam. http://on.cnn.com/i3TCAg","185","17","","","","","1"
"","CNN Breaking News","Mar 18, 2011","official says. http://on.cnn.com/i3TCAg","107","10","","","","","1"
"","CNN Breaking News","Mar 18, 2011","Libya to release 4 journalists, N.Y. Times reports. http://on.cnn.com/fsH9wm","140","11","","","","","1"
"","CNN Breaking News","Mar 18, 2011","Japan disaster may make buying Prius difficult. http://on.cnn.com/i3TCAg","154","18","","","","","1"
"","CNN Breaking News","Mar 18, 2011","protests. http://on.cnn.com/eeWSnS","151","10","","","","","1"
"","CNN Breaking News","Mar 18, 2011","to Guam. http://on.cnn.com/i3TCAg","185","17","","","","","1"
"","CNN Breaking News","Mar 18, 2011","official says. http://on.cnn.com/i3TCAg","107","10","","","","","1"
"","CNN Breaking News","Mar 18, 2011","Libya to release 4 journalists, N.Y. Times reports. http://on.cnn.com/fsH9wm","140","11","","","","","1"
"","CNN Breaking News","Mar 18, 2011","Japan disaster may make buying Prius difficult. http://on.cnn.com/i3TCAg","154","18","","","","","1"
"","CNN Breaking News","Mar 18, 2011","protests. http://on.cnn.com/eeWSnS","151","10","","","","","1"
"","CNN Breaking News","Mar 18, 2011","Libya calls for cease-fire in civil war with ant-government forces. http://on.cnn.com/hBkjED","180","14","","","","","1"
"","CNN Breaking News","Mar 18, 2011","recovery. http://on.cnn.com/i3TCAg","86","12","","","","","1"
"","CNN Breaking News","Mar 18, 2011","and tsunami rises to 6,911. http://on.cnn.com/i3TCAg","421","15","","","","","1"
"","CNN Breaking News","Mar 18, 2011","Japanese prime minister says nuclear plant situation ""very grave."" http://on.cnn.com/i3TCAg","399","31","","","","","1"
"","CNN Breaking News","Mar 18, 2011",", France says. http://on.cnn.com/dZBemS","143","14","","","","","1"
"","CNN Breaking News","Mar 18, 2011","Japanese nuclear crisis on par with Three Mile Island incident, agency says. http://on.cnn.com/eXn6I1","211","19","","","","","1"
"","CNN Breaking News","Mar 18, 2011","Severity level of Japan nuclear accident increased. http://on.cnn.com/i3TCAg","269","22","","","","","1"
"","CNN Breaking News","Mar 18, 2011",", death toll in Japan exceeds 6,500 http://on.cnn.com/gxkYhG","400","18","","","","","1"
"","CNN Breaking News","Mar 18, 2011","Nissan scanning vehicles for radioactive material http://on.cnn.com/fZNJs0","156","25","","","","","1"
"","CNN Breaking News","Mar 18, 2011","resumes spraying reactor to avert nuclear crisis http://on.cnn.com/eXn6I1","159","14","","","","","1"
"","CNN Breaking News","Mar 18, 2011","damaged reactor http://on.cnn.com/geuDYC","371","32","","","","","1"
"","CNN Breaking News","Mar 18, 2011","Official: U.S. won't compensate CIA contractor's victims but would pay ""bill"" http://on.cnn.com/eG4JxU","49","10","","","","","1"
"","CNN Breaking News","Mar 18, 2011","yen http://on.cnn.com/eaZUng","133","18","","","","","1"
"","CNN Breaking News","Mar 18, 2011","Japan, IAEA give conflicting info on effort to restore power to unit No. 2 at nuclear plant http://on.cnn.com/hlKuSO","129","23","","","","","1"
"","CNN Breaking News","Mar 17, 2011","damaged Japan nuclear plant http://on.cnn.com/hlKuSO","212","24","","","","","1"
"","CNN Breaking News","Mar 17, 2011","http://on.cnn.com/eJWpu3","358","26","","","","","1"
"","CNN Breaking News","Mar 17, 2011","damaged reactor unit No. 2 in place, IAEA says http://on.cnn.com/hlKuSO","192","21","","","","","1"
"","CNN Breaking News","Mar 17, 2011",", Clinton says http://on.cnn.com/ft0QGX","90","16","","","","","1"
"","CNN Breaking News","Mar 17, 2011","New Orleans PD has used excessive force, profiling, Justice Dept. finds http://on.cnn.com/egH0oT","105","11","","","","","1"
"","CNN Breaking News","Mar 17, 2011","damaged reactor radiation http://on.cnn.com/geuDYC","113","21","","","","","1"
"","CNN Breaking News","Mar 17, 2011","Senate passes bill funding federal govt. through April 8, sends to Obama http://on.cnn.com/fWS2jL","49","6","","","","","1"
"","CNN Breaking News","Mar 17, 2011","http://on.cnn.com/eXYEQS","186","14","","","","","1"
"","CNN Breaking News","Mar 17, 2011","calls Benghazi residents ""traitors"" http://on.cnn.com/f2wnf3","62","10","","","","","1"
"","CNN Breaking News","Mar 17, 2011","Nuclear Regulatory Commission chief: Little fear of harmful radiation reaching U.S. http://on.cnn.com/geuDYC","147","18","","","","","1"
"","CNN Breaking News","Mar 17, 2011","Suspect in Yale killing pleads guilty. http://on.cnn.com/gKzBwy","50","11","","","","","1"
"","CNN Breaking News","Mar 17, 2011",". http://on.cnn.com/geuDYC","131","19","","","","","1"
"","CNN Breaking News","Mar 17, 2011",". http://on.cnn.com/geuDYC","192","20","1","","","","1"
"","CNN Breaking News","Mar 17, 2011","Temple University evacuating students from Japan. http://on.cnn.com/geuDYC","207","15","","","","","1"
"","CNN Breaking News","Mar 17, 2011","Sandra Bullock gives $1M for Japan quake and tsunami aid. http://on.cnn.com/geuDYC","1.8K","105","","","","","1"
"","CNN Breaking News","Mar 17, 2011","damaged nuclear plant. http://on.cnn.com/geuDYC","468","27","","","","","1"
"","CNN Breaking News","Mar 17, 2011","aftershocks rock Japan. http://on.cnn.com/geuDYC","203","18","","","","","1"
"","CNN Breaking News","Mar 17, 2011","China trying to head off ""salt panic"" in wake of Japan nuclear crisis. http://on.cnn.com/geuDYC","121","28","","","","","1"
"","CNN Breaking News","Mar 17, 2011","Water spraying operation over at crippled nuclear power plant in Japan, defense ministry says. http://on.cnn.com/geuDYC","119","14","","","","","1"
"","CNN Breaking News","Mar 17, 2011","Kyodo News: Tokyo Electric Power Company to halt building nuclear power plant in Oma. http://on.cnn.com/geuDYC","80","10","","","","","1"
"","CNN Breaking News","Mar 17, 2011","crippled Fukushima Daiichi nuclear plant. http://on.cnn.com/geuDYC","146","22","","","","","1"
"","CNN Breaking News","Mar 17, 2011","rises to 5,457 with 9,508 missing. http://on.cnn.com/geuDYC","626","23","","","","","1"
"","CNN Breaking News","Mar 17, 2011","earthquake, tsumani aftermath continues. Watch: http://on.cnn.com/cnndcl3","55","17","","","","","1"
"","CNN Breaking News","Mar 17, 2011","-affected areas in Japan http://on.cnn.com/f6UaSZ","116","18","","","","","1"
"","CNN Breaking News","Mar 17, 2011","Japanese rush to cool off nuclear reactors from air, ground http://on.cnn.com/hlKuSO","179","13","","","","","1"
"","CNN Breaking News","Mar 17, 2011","reactors http://on.cnn.com/hi8GVs","282","26","","","","","1"
"","CNN Breaking News","Mar 17, 2011","earthquake, tsumani aftermath continues. Watch: http://on.cnn.com/cnndcl3","55","17","","","","","1"
"","CNN Breaking News","Mar 17, 2011","-affected areas in Japan http://on.cnn.com/f6UaSZ","116","18","","","","","1"
"","CNN Breaking News","Mar 17, 2011","Japanese rush to cool off nuclear reactors from air, ground http://on.cnn.com/hlKuSO","179","13","","","","","1"
"","CNN Breaking News","Mar 17, 2011","reactors http://on.cnn.com/hi8GVs","282","26","","","","","1"
"","CNN Breaking News","Mar 17, 2011","nuclear plant http://on.cnn.com/hlXLSp","141","17","","","","","1"
"","CNN Breaking News","Mar 17, 2011","nuclear power plant http://on.cnn.com/hlXLSp","338","21","","","","","1"
"","CNN Breaking News","Mar 17, 2011","reactor http://on.cnn.com/hi8GVs","708","61","","","","","1"
"","CNN Breaking News","Mar 17, 2011","nuclear plant http://on.cnn.com/hi8GVs","352","24","","","","","1"
"","CNN Breaking News","Mar 16, 2011",", tsunami aid and relief: How you can help http://on.cnn.com/fAXNkc","341","34","","","","","1"
"","CNN Breaking News","Mar 16, 2011","Mexico acknowledges U.S. drones helping track drug traffickers there http://on.cnn.com/eaYbAL","98","17","","","","","1"
"","CNN Breaking News","Mar 16, 2011","""Extremely high"" radiation levels at Fukushima Daiichi plant, U.S. NRC says http://on.cnn.com/hlXLSp","538","43","","","","","1"
"","CNN Breaking News","Mar 16, 2011","crisis, U.S. economy http://on.cnn.com/gc5uU6","106","9","","","","","1"
"","CNN Breaking News","Mar 16, 2011","http://on.cnn.com/dPvSAy","113","19","","","","","1"
"","CNN Breaking News","Mar 16, 2011","advises 12.4 miles http://on.cnn.com/hlXLSp","189","12","","","","","1"
"","CNN Breaking News","Mar 16, 2011","does not want to serve second term as secretary of state, Clinton tells CNN. http://on.cnn.com/dJhyhp","465","29","","","","","1"
"","CNN Breaking News","Mar 16, 2011","Four New York Times journalists missing in Libya, newspaper says. http://on.cnn.com/gJEGzi","267","13","","","","","1"
"","CNN Breaking News","Mar 16, 2011","damaged reactors. http://on.cnn.com/hlXLSp","84","7","","","","","1"
"","CNN Breaking News","Mar 16, 2011","damaged Japanese reactors. http://on.cnn.com/i6CN0p","172","13","","","","","1"
"","CNN Breaking News","Mar 16, 2011","death toll stands at 4,314, with at least 8,606 missing, police say. http://on.cnn.com/hlXLSp","588","35","","","","","1"
