"listing_value","tweets_Name","tweets_Date","tweets_Text","tweets_Replies","tweets_Retweets","tweets_Likes","tweets_Images","tweets_imageURL","tweets_hrefURL","remove"
"1","CNN Breaking News","Dec 31, 2012","has a blood clot between her brain and skull behind her right ear.","100","984","81","","","","1"
"1","CNN Breaking News","Dec 31, 2012","#Wilmington10","7","240","38","","","","1"
"1","CNN Breaking News","Dec 31, 2012","#fiscalcliff","73","412","13","","","","1"
"1","CNN Breaking News","Dec 31, 2012","#fiscalcliff","21","213","33","","","","1"
"1","CNN Breaking News","Dec 31, 2012","Nine dead, 18 injured after bus skids on ice and tumbles down embankment Sunday morning in northern Oregon","30","418","38","","","","1"
"1","CNN Breaking News","Dec 31, 2012","Venezuelan President Hugo Chavez, recovering from cancer surgery, has suffered ""new complications,"" an official said","21","593","39","","","","1"
"1","CNN Breaking News","Dec 31, 2012","Secretary of State Hillary Clinton is hospitalized with a blood clot related to a concussion she suffered this month","70","1K","47","","","","1"
"1","CNN Breaking News","Dec 30, 2012","Obama talks about 'worst day of my presidency,' goals for next term.","30","215","83","","","","1"
"1","CNN Breaking News","Dec 30, 2012","Obama calls on Senate to keep middle-class tax rates unchanged and jobless benefits intact.","41","413","79","","","","1"
"1","CNN Breaking News","Dec 30, 2012","Sen. McConnell: Fiscal cliff ""talks continue into (Saturday) evening.""","33","111","26","","","","1"
"1","CNN Breaking News","Dec 29, 2012","Woman charged with 2nd-degree murder as hate crime in death of man shoved in front of train","54","472","67","","","","1"
"1","CNN Breaking News","Dec 29, 2012","Former President George H.W. Bush transferred from intensive care, his spokesman says","24","196","45","","","","1"
"1","CNN Breaking News","Dec 29, 2012","Woman wanted in death of man shoved in front of NY subway is in custody, police say.","21","252","44","","","","1"
"1","CNN Breaking News","Dec 29, 2012","Plane with 12 people aboard crashes after overshooting runway at Moscow airport, according to state media.","18","253","22","","","","1"
"1","CNN Breaking News","Dec 29, 2012","Obama to make first Sunday show appearance in three years","43","247","50","","","","1"
"1","CNN Breaking News","Dec 28, 2012","Woman whose gang rape sparked protests in India has died, her doctor says.","108","954","63","","","","1"
"1","CNN Breaking News","Dec 28, 2012","Woman arrested in connection with ambush of firefighters","9","194","30","","","","1"
"1","CNN Breaking News","Dec 28, 2012","Snow covers 65% of lower 48; more coming","24","313","37","","","","1"
"1","CNN Breaking News","Dec 28, 2012","Condition of India rape victim worsens, doctor says.","37","211","33","","","","1"
"1","CNN Breaking News","Dec 28, 2012","U.S. diplomats leaving Central African Republic amid unrest.","14","110","18","","","","1"
"1","CNN Breaking News","Dec 28, 2012","Syria using more accurate, Iranian-made missiles, U.S.officials say.","12","137","24","","","","1"
"1","CNN Breaking News","Dec 28, 2012","U.S. Embassy in Central African Republic suspends operations as rebel attacks rise","7","129","30","","","","1"
"1","CNN Breaking News","Dec 28, 2012","Obama, congressional leaders to discuss fiscal cliff impasse Friday at WH","28","167","33","","","","1"
"1","CNN Breaking News","Dec 28, 2012","Gen. Norman Schwarzkopf, who led coalition forces in 1991 Gulf War, has died","23","558","35","","","","1"
"1","CNN Breaking News","Dec 27, 2012","George H.W. Bush's chief of staff: ""Please put the harps back in the closet.""","24","216","50","","","","1"
"1","CNN Breaking News","Dec 27, 2012","House leaders say the chamber will reconvene Sunday","19","84","10","","","","1"
"1","CNN Breaking News","Dec 27, 2012","Man who shot firefighters Monday died of a self-inflicted wound, coroner says","18","118","19","","","","1"
"1","CNN Breaking News","Dec 27, 2012","White House officials say Obama won't send Congress a scaled-back fiscal cliff plan; GOP official still expects details.","16","114","16","","","","1"
"1","CNN Breaking News","Dec 27, 2012","EPA chief Lisa Jackson announces resignation.","12","103","15","","","","1"
"1","CNN Breaking News","Dec 27, 2012","needs hospital treatment for fractured ribs, lawyer says.","4","69","14","","","","1"
"1","CNN Breaking News","Dec 27, 2012","India gang-rape victim in Singapore for treatment; fresh protests hit New Delhi","23","244","30","","","","1"
"1","CNN Breaking News","Dec 27, 2012","to be transferred to military hospital, state-run TV reports.","4","87","10","","","","1"
"1","CNN Breaking News","Dec 27, 2012","Powerful winter storm set to bring more travel misery to Northeast.","12","154","25","","","","1"
"1","CNN Breaking News","Dec 27, 2012","Supreme Court won't block Obamacare's required emergency contraception coverage","29","621","154","","","","1"
