"listing_value","tweets_Name","tweets_Date","tweets_Text","tweets_Replies","tweets_Retweets","tweets_Likes","tweets_Images","tweets_imageURL","tweets_hrefURL","remove"
"","CNN Breaking News","Apr 3, 2014","The FDA has approved an easy-to-use auto-injector to deliver a heroin overdose antidote.","126","452","343","","","","1"
"","CNN Breaking News","Apr 3, 2014","Three patients from Fort Hood remain in serious condition and six have been discharged, Texas hospital says.","18","137","106","","","","1"
"","CNN Breaking News","Apr 3, 2014","Vice Adm. Jan Tighe becomes the first woman to command a numbered U.S. Navy fleet.","49","340","326","","","","1"
"","CNN Breaking News","Apr 3, 2014","New data from NASA suggests an underground ocean exists on one of Saturn’s moons.","91","679","521","","","","1"
"","CNN Breaking News","Apr 3, 2014","David Letterman will retire in 2015, the host said during the taping of tonight’s “The Late Show.""","78","626","274","","","","1"
"","'Late Show' host David Letterman to retire in 2015","","David Letterman will retire in 2015, the host said during the taping of tonight’s “The Late Show.""","78","626","274","","","","1"
"","'The Late Show' host David Letterman announced his plan to retire in 2015.","","David Letterman will retire in 2015, the host said during the taping of tonight’s “The Late Show.""","78","626","274","","","","1"
"","money.cnn.com","","David Letterman will retire in 2015, the host said during the taping of tonight’s “The Late Show.""","78","626","274","","","","1"
"","CNN Breaking News","Apr 3, 2014",", Lt. Gen. Milley says.","15","73","61","","","","1"
"","CNN Breaking News","Apr 3, 2014","4 of 16 soldiers wounded at Fort Hood released from hospitals, Lt. Gen. Milley, says. Watch briefing on CNN.","17","119","119","","","","1"
"","CNN Breaking News","Apr 3, 2014","New U.S. atomic clock not stylish, but accurate to within a second every 300 million years.","73","409","387","https://pbs.twimg.com/media/BkUpe5BCIAE6yQb?format=jpg&name=small","","","1"
"","CNN Breaking News","Apr 3, 2014","Senate panel votes to declassify parts of its report on CIA's post-9/11 interrogation program.","11","135","110","","","","1"
"","CNN Breaking News","Apr 3, 2014","Russia recalls ambassador to NATO amid Ukraine tensions.","18","156","83","","","","1"
"","CNN Breaking News","Apr 3, 2014","House panel to consider holding ex-IRS official in contempt.","9","46","57","","","","1"
"","CNN Breaking News","Apr 3, 2014","Fort Hood suspect had clean behavior record, Army secretary says.","36","90","62","","","","1"
"","CNN Breaking News","Apr 3, 2014","No record that Fort Hood suspect was likely to commit violence against himself or others, Army secretary says.","12","75","50","","","","1"
"","CNN Breaking News","Apr 3, 2014","Army secretary: Fort Hood suspect treated for depression, anxiety and sleep disturbances; was prescribed Ambien.","49","159","83","","","","1"
"","CNN Breaking News","Apr 3, 2014","Army secretary: No suspicions of battle-related traumatic brain injury for Fort Hood suspect.","6","56","39","","","","1"
"","CNN Breaking News","Apr 3, 2014","Iraq's military says it thwarted attack against base, killed 40 gunmen.","8","100","103","","","","1"
"","CNN Breaking News","Apr 3, 2014","Egyptian extremist group says it was behind yesterday's Cairo blasts.","10","96","59","","","","1"
"","CNN Breaking News","Apr 3, 2014","Russia says it wants answers from NATO regarding activities in eastern Europe.","38","167","121","","","","1"
"","CNN Breaking News","Apr 3, 2014","Records don't show Fort Hood shooter was hurt in Iraq, but he reported he had traumatic brain injury, official said.","30","207","136","","","","1"
"","CNN Breaking News","Apr 3, 2014","reports.","38","229","92","","","","1"
