"listing_value","tweets_Name","tweets_Date","tweets_Text","tweets_Replies","tweets_Retweets","tweets_Likes","tweets_Images","tweets_imageURL","tweets_hrefURL","remove"
"","CNN Breaking News","Jan 28, 2016",".","49","147","276","https://pbs.twimg.com/media/CZ14KkMUUAQJ71I?format=jpg&name=small","","","1"
"","CNN Breaking News","Jan 28, 2016",".","33","288","243","https://pbs.twimg.com/media/CZ1nXzDWcAAAPcj?format=jpg&name=small","","","1"
"","CNN Breaking News","Jan 28, 2016","Police: Hunt still on for woman who was with armed man near Disneyland Paris. Earlier, they said she was in custody.","17","202","180","https://pbs.twimg.com/card_img/1334553858165665793/KddkIW0e?format=jpg&name=small","https://pbs.twimg.com/card_img/1334553858165665793/KddkIW0e?format=jpg&name=small","https://t.co/chNDphuN7v?amp=1","1"
"","Disneyland Paris: Man with 2 guns arrested at nearby hotel - CNN","","Police: Hunt still on for woman who was with armed man near Disneyland Paris. Earlier, they said she was in custody.","17","202","180","https://pbs.twimg.com/card_img/1334553858165665793/KddkIW0e?format=jpg&name=small","https://pbs.twimg.com/card_img/1334553858165665793/KddkIW0e?format=jpg&name=small","https://t.co/chNDphuN7v?amp=1","1"
"","A man with two firearms and ammunition was arrested Thursday at the entrance to a hotel near Disneyland Paris, police said.","","Police: Hunt still on for woman who was with armed man near Disneyland Paris. Earlier, they said she was in custody.","17","202","180","https://pbs.twimg.com/card_img/1334553858165665793/KddkIW0e?format=jpg&name=small","https://pbs.twimg.com/card_img/1334553858165665793/KddkIW0e?format=jpg&name=small","https://t.co/chNDphuN7v?amp=1","1"
"","cnn.com","","Police: Hunt still on for woman who was with armed man near Disneyland Paris. Earlier, they said she was in custody.","17","202","180","https://pbs.twimg.com/card_img/1334553858165665793/KddkIW0e?format=jpg&name=small","https://pbs.twimg.com/card_img/1334553858165665793/KddkIW0e?format=jpg&name=small","https://t.co/chNDphuN7v?amp=1","1"
"","CNN Breaking News","Jan 28, 2016","French police arrest woman who was with man carrying weapons & ammunition at Disneyland Paris hotel.","37","360","291","https://pbs.twimg.com/card_img/1334553858165665793/KddkIW0e?format=jpg&name=small","https://pbs.twimg.com/card_img/1334553858165665793/KddkIW0e?format=jpg&name=small","https://t.co/chNDphuN7v?amp=1","1"
"","Disneyland Paris: Man with 2 guns arrested at nearby hotel - CNN","","French police arrest woman who was with man carrying weapons & ammunition at Disneyland Paris hotel.","37","360","291","https://pbs.twimg.com/card_img/1334553858165665793/KddkIW0e?format=jpg&name=small","https://pbs.twimg.com/card_img/1334553858165665793/KddkIW0e?format=jpg&name=small","https://t.co/chNDphuN7v?amp=1","1"
"","A man with two firearms and ammunition was arrested Thursday at the entrance to a hotel near Disneyland Paris, police said.","","French police arrest woman who was with man carrying weapons & ammunition at Disneyland Paris hotel.","37","360","291","https://pbs.twimg.com/card_img/1334553858165665793/KddkIW0e?format=jpg&name=small","https://pbs.twimg.com/card_img/1334553858165665793/KddkIW0e?format=jpg&name=small","https://t.co/chNDphuN7v?amp=1","1"
"","cnn.com","","French police arrest woman who was with man carrying weapons & ammunition at Disneyland Paris hotel.","37","360","291","https://pbs.twimg.com/card_img/1334553858165665793/KddkIW0e?format=jpg&name=small","https://pbs.twimg.com/card_img/1334553858165665793/KddkIW0e?format=jpg&name=small","https://t.co/chNDphuN7v?amp=1","1"
