"listing_value","tweets_Name","tweets_Date","tweets_Text","tweets_Replies","tweets_Retweets","tweets_Likes","tweets_Images","tweets_imageURL","tweets_hrefURL","remove"
"1","CNN Breaking News","Dec 31, 2017","Supreme Court Chief Justice John Roberts says he has called for an evaluation of how the judicial branch handles allegations of sexual harassment","72","275","797","https://pbs.twimg.com/media/DSaRyseXcAEQC4p?format=jpg&name=small","","","1"
"1","CNN Breaking News","Dec 31, 2017","About 200 people were arrested in Iran on Saturday as anti-government protests in the country continue into their fourth day","83","289","405","https://pbs.twimg.com/media/DSaKQo-WsAUEmOr?format=jpg&name=small","","","1"
"1","CNN Breaking News","Dec 31, 2017","A plane crash in northwest Costa Rica killed all 12 people aboard, officials say","37","212","208","https://pbs.twimg.com/media/DSaDOmDVwAAcqIw?format=jpg&name=small","","","1"
"1","CNN Breaking News","Dec 31, 2017","The Cleveland Browns lose 28-24 to the Pittsburgh Steelers, becoming the second team in NFL history to finish a season without a win","131","367","1K","https://pbs.twimg.com/media/DSZ-T9VW0AAoFtS?format=jpg&name=small","","","1"
"1","CNN Breaking News","Dec 31, 2017","The suspect in the Denver-area shooting that left a deputy dead fired more than 100 shots before he was killed, sheriff says","50","178","192","https://pbs.twimg.com/media/DSZ3mD-XkAE2p57?format=jpg&name=small","","","1"
"1","CNN Breaking News","Dec 31, 2017","Disney says ""Star Wars: The Last Jedi"" hit $1 billion worldwide, making it the third-biggest film of 2017","65","343","1K","https://pbs.twimg.com/media/DSZbXdHU8AA8dV4?format=jpg&name=small","","","1"
"1","CNN Breaking News","Dec 31, 2017","1 deputy died and 4 others were injured after responding to a domestic disturbance call in Denver suburb of Highlands Ranch, police say","76","224","266","https://pbs.twimg.com/media/DSZG1eGXkAAEc4U?format=jpg&name=small","","","1"
"1","CNN Breaking News","Dec 31, 2017","Police are responding to “multiple deputies” down in an active incident in Denver suburb Highlands Ranch","97","521","411","https://pbs.twimg.com/media/DSYr53cW4AEt7d5?format=jpg&name=small","","","1"
"1","CNN Breaking News","Dec 31, 2017","At least 30 people were killed and several others injured in a bus collision in Kenya","49","165","213","https://pbs.twimg.com/media/DSYfuBAXcAAZGKW?format=jpg&name=small","","","1"
"1","CNN Breaking News","Dec 31, 2017","South Korea says it's seized a second ship suspected of smuggling oil to North Korea in violation of UN sanctions","64","418","963","https://pbs.twimg.com/media/DSYMMd7XcAE7jXw?format=jpg&name=small","","","1"
"1","CNN Breaking News","Dec 31, 2017","Iranian government issues stern warning that protesters will ""pay the price"" after anti-government demonstrations throughout the country turn deadly.","99","215","257","https://pbs.twimg.com/media/DSXpLHnXkAAXJUw?format=jpg&name=small","","","1"
"1","CNN Breaking News","Dec 30, 2017","Tens of millions of people in the Northeast and Northern Plains will face bitter cold on New Year's Eve, and the cold blast will stretch as far south as Texas and Georgia","69","205","351","https://pbs.twimg.com/media/DSULvlvWsAAJWgp?format=jpg&name=small","","","1"
"1","CNN Breaking News","Dec 30, 2017","Iran warns against illegal gatherings after 2 days of anti-government protests that prompted Trump to say the ""world is watching""","117","219","405","https://pbs.twimg.com/media/DSUFqMfXUAAXz_O?format=jpg&name=small","","","1"
"1","CNN Breaking News","Dec 30, 2017","The victims were ages 8 months - 63. Families are in shock after an unsupervised toddler started New York City's deadliest fire in more than 25 years.","61","230","311","https://pbs.twimg.com/media/DST3GCUXkAEK_Vi?format=jpg&name=small","","","1"
"1","CNN Breaking News","Dec 30, 2017","A 911 call about a fake hostage situation - part of a dangerous scam called 'swatting'- led police to an innocent man's home where he was killed","194","484","501","https://pbs.twimg.com/media/DSTu8msXcAAex8N?format=jpg&name=small","","","1"
"1","CNN Breaking News","Dec 30, 2017","Erica Garner, an activist for social justice and the daughter of a man who died from a police choke hold in 2014, has died after a heart attack","171","498","639","https://pbs.twimg.com/media/DSTjyK8WAAAKasn?format=jpg&name=small","","","1"
"1","CNN Breaking News","Dec 30, 2017","Trump cuts remaining members of HIV/AIDS council following resignations of six others in June","176","375","372","https://pbs.twimg.com/media/DSQ0VIFUEAEq-Hl?format=jpg&name=small","","","1"
"1","CNN Breaking News","Dec 29, 2017","Mystery writer Sue Grafton has died. Her best-selling ""alphabet"" series of books began with 1982's ""A is for Alibi.""","63","313","516","https://pbs.twimg.com/media/DSQJWJmX4AEOQTY?format=jpg&name=small","","","1"
"1","CNN Breaking News","Dec 29, 2017","Beatles drummer Ringo Starr and BeeGees co-founder Barry Gibb are awarded knighthoods by Queen Elizabeth","154","907","3.2K","https://pbs.twimg.com/media/DSP8-HeUMAAAvoU?format=jpg&name=small","","","1"
"1","CNN Breaking News","Dec 29, 2017","The State Department releases Huma Abedin emails that the FBI found on Anthony Weiner's laptop","140","157","228","https://pbs.twimg.com/media/DSP2NIYVoAE3Dl1?format=jpg&name=small","","","1"
