"listing_value","tweets_Name","tweets_Date","tweets_Text","tweets_Replies","tweets_Retweets","tweets_Likes","tweets_Images","tweets_imageURL","tweets_hrefURL","remove"
"1","CNN Breaking News","Jun 27, 2017","Three more GOP senators announce they're opposed to the Senate health care bill, after a vote on it was delayed","258","473","1.3K","https://pbs.twimg.com/media/DDXajw0XYAAAduj?format=jpg&name=small","","","1"
"1","CNN Breaking News","Jun 27, 2017","Los Angeles fines Carl’s Jr. $1.45 million for allegedly underpaying workers","137","438","833","https://pbs.twimg.com/media/DDXKWIEXgAAVfY7?format=jpg&name=small","","","1"
"1","CNN Breaking News","Jun 27, 2017","The lockdown on a US Army base in Alabama has been lifted after investigators found no active shooter.","51","92","219","https://pbs.twimg.com/media/DDXEbpHXsAACT8Y?format=jpg&name=small","","","1"
"1","CNN Breaking News","Jun 27, 2017","Alton Sterling's children sue Baton Rouge over their father's fatal shooting death at a convenience store last year.","110","189","441","https://pbs.twimg.com/media/DDW5UXIW0AQ1Pjq?format=jpg&name=small","","","1"
"1","CNN Breaking News","Jun 27, 2017","3 current or former Chicago cops face state felony charges in connection with the shooting death of Laquan McDonald","96","251","419","https://pbs.twimg.com/media/DDWwqbxXUAMg69V?format=jpg&name=small","","","1"
"1","CNN Breaking News","Jun 27, 2017","White House holds on-camera briefing amid criticism for shift away from daily back-and-forth with press. Watch live","78","68","210","https://pbs.twimg.com/media/DDWRwVSXsAE8EXq?format=jpg&name=small","","","1"
"1","CNN Breaking News","Jun 27, 2017","McConnell tells GOP senators health care bill needs work and delays vote until after July 4 recess, sources say","206","290","405","https://pbs.twimg.com/media/DDWI7SFWAAA3DDN?format=jpg&name=small","","","1"
"1","CNN Breaking News","Jun 27, 2017","Major companies across Europe say they've been targeted in massive cyber attack. Ukraine seems to be hit hard","67","279","215","https://pbs.twimg.com/media/DDV-_6_XYAASMNL?format=jpg&name=small","","","1"
"1","CNN Breaking News","Jun 27, 2017","US Army post in Alabama on lockdown due to possible active shooting, Redstone Arsenal officials tweet","66","351","246","https://pbs.twimg.com/media/DDVzfzdWsAA_tCG?format=jpg&name=small","","","1"
"1","CNN Breaking News","Jun 27, 2017","China slides to lowest rung on US list of human trafficking offenders","67","71","160","https://pbs.twimg.com/media/DDVvE3iWAAEkmno?format=jpg&name=small","","","1"
"1","CNN Breaking News","Jun 27, 2017","Queen Elizabeth gets pay boost to refurbish Buckingham Palace. Her accountant sees good value for the money","92","185","584","https://pbs.twimg.com/media/DDVjSAeWAAAP0bA?format=jpg&name=small","","","1"
