"listing_value","tweets_Name","tweets_Date","tweets_Text","tweets_Replies","tweets_Retweets","tweets_Likes","tweets_Images","tweets_imageURL","tweets_hrefURL","remove"
"","CNN Breaking News","May 31","Christo Vladimirov Javacheff, who was known for his monumental environmental artworks with his late wife, has died.","78","550","1.3K","https://pbs.twimg.com/card_img/1318065823303520256/yfJoZPT9?format=jpg&name=small","https://pbs.twimg.com/card_img/1318065823303520256/yfJoZPT9?format=jpg&name=small","https://t.co/9q6wacWKB4?amp=1","1"
"","Christo, who made monumental art around the world, has died at 84","","Christo Vladimirov Javacheff, who was known for his monumental environmental artworks with his late wife, has died.","78","550","1.3K","https://pbs.twimg.com/card_img/1318065823303520256/yfJoZPT9?format=jpg&name=small","https://pbs.twimg.com/card_img/1318065823303520256/yfJoZPT9?format=jpg&name=small","https://t.co/9q6wacWKB4?amp=1","1"
"","Christo Vladimirov Javacheff, who was known for his monumental artworks with his late wife, Jeanne-Claude Denat de Guillebon, has died.","","Christo Vladimirov Javacheff, who was known for his monumental environmental artworks with his late wife, has died.","78","550","1.3K","https://pbs.twimg.com/card_img/1318065823303520256/yfJoZPT9?format=jpg&name=small","https://pbs.twimg.com/card_img/1318065823303520256/yfJoZPT9?format=jpg&name=small","https://t.co/9q6wacWKB4?amp=1","1"
"","cnn.com","","Christo Vladimirov Javacheff, who was known for his monumental environmental artworks with his late wife, has died.","78","550","1.3K","https://pbs.twimg.com/card_img/1318065823303520256/yfJoZPT9?format=jpg&name=small","https://pbs.twimg.com/card_img/1318065823303520256/yfJoZPT9?format=jpg&name=small","https://t.co/9q6wacWKB4?amp=1","1"
"","CNN Breaking News","May 31","More than 20 cities have imposed curfews Sunday night in response to violent protests across the country after the death of George Floyd","238","353","1.2K","","","","1"
"","CNN Breaking News","May 31","US astronauts Robert Behnken and Douglas Hurley successfully disembark and board the International Space Station","86","447","2.5K","https://pbs.twimg.com/card_img/1320480877898584064/LBwgJwVZ?format=jpg&name=small","https://pbs.twimg.com/card_img/1320480877898584064/LBwgJwVZ?format=jpg&name=small","https://t.co/M3EG7HCrwa?amp=1","1"
"","US astronauts disembark SpaceX's Crew Dragon and board the International Space Station","","US astronauts Robert Behnken and Douglas Hurley successfully disembark and board the International Space Station","86","447","2.5K","https://pbs.twimg.com/card_img/1320480877898584064/LBwgJwVZ?format=jpg&name=small","https://pbs.twimg.com/card_img/1320480877898584064/LBwgJwVZ?format=jpg&name=small","https://t.co/M3EG7HCrwa?amp=1","1"
"","cnn.com","","US astronauts Robert Behnken and Douglas Hurley successfully disembark and board the International Space Station","86","447","2.5K","https://pbs.twimg.com/card_img/1320480877898584064/LBwgJwVZ?format=jpg&name=small","https://pbs.twimg.com/card_img/1320480877898584064/LBwgJwVZ?format=jpg&name=small","https://t.co/M3EG7HCrwa?amp=1","1"
"","CNN Breaking News","May 31","Trump announces the US will designate Antifa as a terrorist organization. He has pointed to far-left groups as responsible for many violent US protests.","1.3K","1.2K","2.9K","https://pbs.twimg.com/media/EZXQPESX0AINUrY?format=jpg&name=small","","","1"
"","CNN Breaking News","May 31","NASA astronauts aboard the SpaceX Crew Dragon spacecraft successfully dock with the International Space Station after Saturday's historic launch","60","464","2.6K","https://pbs.twimg.com/card_img/1320480877898584064/LBwgJwVZ?format=jpg&name=small","https://pbs.twimg.com/card_img/1320480877898584064/LBwgJwVZ?format=jpg&name=small","https://t.co/8Ha47dImYV?amp=1","1"
"","US astronauts disembark SpaceX's Crew Dragon and board the International Space Station","","NASA astronauts aboard the SpaceX Crew Dragon spacecraft successfully dock with the International Space Station after Saturday's historic launch","60","464","2.6K","https://pbs.twimg.com/card_img/1320480877898584064/LBwgJwVZ?format=jpg&name=small","https://pbs.twimg.com/card_img/1320480877898584064/LBwgJwVZ?format=jpg&name=small","https://t.co/8Ha47dImYV?amp=1","1"
"","cnn.com","","NASA astronauts aboard the SpaceX Crew Dragon spacecraft successfully dock with the International Space Station after Saturday's historic launch","60","464","2.6K","https://pbs.twimg.com/card_img/1320480877898584064/LBwgJwVZ?format=jpg&name=small","https://pbs.twimg.com/card_img/1320480877898584064/LBwgJwVZ?format=jpg&name=small","https://t.co/8Ha47dImYV?amp=1","1"
"","CNN Breaking News","May 31","New Jersey Sen. Cory Booker calls for legislative change and says ""we are all weaker"" because of how long injustice has persisted in the US","220","189","1.1K","https://pbs.twimg.com/media/EZWfZINXsAAbG8O?format=jpg&name=small","","","1"
"","CNN Breaking News","May 31","Atlanta Mayor Keisha Lance Bottoms rebukes the President over rhetoric she says is stoking racial tensions in the US, saying Trump ""should just stop talking"" because ""he is making it worse""","411","848","4.6K","https://pbs.twimg.com/media/EZWbQuPWAAMHC9z?format=jpg&name=small","","","1"
"","CNN Breaking News","May 31","US National Security Adviser Robert O'Brien says ""I don't think there's systemic racism"" in America's police forces","1.2K","1.5K","2.1K","","","","1"
"","CNN Breaking News","May 31","The faithful return to St. Peter's Square as Pope Francis resumes his traditional greeting from his window for the first time in nearly three months","74","315","2K","https://pbs.twimg.com/media/EZWIxT6XgAIQY9F?format=jpg&name=small","","","1"
"","CNN Breaking News","May 31","An officer in Jacksonville, Florida, was ""stabbed or slashed in the neck and is currently in the hospital,"" Jacksonville Sheriff Mike Williams said","430","852","1.8K","https://pbs.twimg.com/media/EZVSjG0XYAEcv5V?format=jpg&name=small","","","1"
"","CNN Breaking News","May 31","Target has temporarily closed 175 stores across the United States amid protests","341","1.9K","4K","https://pbs.twimg.com/media/EZU_zEaXQAAdp9l?format=jpg&name=small","","","1"
"","CNN Breaking News","May 31","There were dozens of arrests, but no serious injuries tonight as protests broke out in the Minneapolis area, according to Minnesota Dept of Corrections Commissioner Paul Schnell","125","161","558","https://pbs.twimg.com/media/EZU7GNvWoAANtdk?format=jpg&name=small","","","1"
"","CNN Breaking News","May 31","The Ferguson, Missouri, police department has been damaged and evacuated according to the St. Louis County Police Department","179","935","1.9K","https://pbs.twimg.com/media/EZUr2FsWAAIkvs_?format=jpg&name=small","","","1"
"","CNN Breaking News","May 31","At least three people were reported shot and one dead amid protests in downtown Indianapolis, police chief Randal Taylor said","264","1.3K","1.7K","https://pbs.twimg.com/media/EZUkG4BWoAAvXfq?format=jpg&name=small","","","1"
"","CNN Breaking News","May 31","The World Health Organization has released new guidance for outdoor events and mass gatherings during the coronavirus pandemic","256","457","955","https://pbs.twimg.com/media/EZUOabWXQAAJAfO?format=jpg&name=small","","","1"
"","CNN Breaking News","May 31","Protesters who were marching from Minneapolis to St. Paul were tear gassed by police as they tried to cross the Lake Street Marshall Bridge","394","607","1.5K","https://pbs.twimg.com/media/EZUFv6JWsAAx2BD?format=jpg&name=small","","","1"
"","CNN Breaking News","May 31","The National Guard has been activated in Washington, D.C. to assist police handling protests around the White House","264","1K","1.7K","https://pbs.twimg.com/media/EZUCyNiWkAUUprJ?format=jpg&name=small","","","1"
"","CNN Breaking News","May 31","Police have been firing tear gas at the protesters near the 5th Precinct in Minneapolis, where some in the crowd have responded with projectiles of their own","155","304","832","https://pbs.twimg.com/media/EZUAcjvXQAAbkCb?format=jpg&name=small","","","1"
"","CNN Breaking News","May 31","Chicago's mayor has announced a curfew starting 9 p.m. local time and ending at 6 a.m. Sunday that will ""be nightly until further notice""","137","333","795","https://pbs.twimg.com/media/EZT5UQdXgAM0Skf?format=jpg&name=small","","","1"
"","CNN Breaking News","May 31","Texas and Colorado have activated the National Guard respond to protests","103","519","804","https://pbs.twimg.com/media/EZT0idKWoAMELgD?format=jpg&name=small","","","1"
"","CNN Breaking News","May 31","Beverly Hills will implement a curfew at 8 p.m. local time that will last until 5:30 a.m","75","263","493","https://pbs.twimg.com/media/EZT0RhBXkAIz5ge?format=jpg&name=small","","","1"
"","CNN Breaking News","May 31","The mayor of Rochester, New York, has declared a state of emergency and ordered a curfew from 9 p.m. Saturday to 7 a.m. Sunday","98","704","1.2K","https://pbs.twimg.com/media/EZTrCphWkAAoHPe?format=jpg&name=small","","","1"
"","CNN Breaking News","May 31","The mayor of Louisville is implementing a curfew in the wake of the protests that turned violent Friday night and is working with Kentucky's governor to authorize the National Guard's assistance in the city","57","198","395","https://pbs.twimg.com/media/EZTps-mWkAMhYcE?format=jpg&name=small","","","1"
"","CNN Breaking News","May 31","Seattle's mayor has announced a citywide curfew from 5 p.m. to 5 a.m. for both Saturday and Sunday in wake of violent protests","115","339","657","https://pbs.twimg.com/media/EZTk0CdXYAM5WbZ?format=jpg&name=small","","","1"
"","CNN Breaking News","May 30","A police car appears to be on fire in Los Angeles. Police officers are holding back a line of demonstrators to prevent them from getting close to the car.","249","725","1.7K","https://pbs.twimg.com/media/EZTKVTFXYAAVScg?format=jpg&name=small","","","1"
"","CNN Breaking News","May 30","The mayor of Columbus, Ohio, is instituting a citywide curfew from 10 p.m. to 6 a.m. ""until it is rescinded""","68","248","561","https://pbs.twimg.com/media/EZTHrw-XsAAPOzn?format=jpg&name=small","","","1"
"","CNN Breaking News","May 30","US Secret Service police vehicles have been vandalized outside the White House","266","813","2.7K","https://pbs.twimg.com/media/EZTCQSkWkAA79Ki?format=jpg&name=small","","","1"
"","CNN Breaking News","May 30","Georgia's governor has authorized the use of as many as 1,500 National Guard troops throughout Atlanta to maintain order as the community cleans up after Friday's protests","50","135","504","https://pbs.twimg.com/media/EZSzT4wWsAEqRVO?format=jpg&name=small","","","1"
"","CNN Breaking News","May 30","Cincinnati's mayor has announced a curfew beginning at 10 p.m. and ending at 6 a.m. on Saturday and Sunday in the downtown area","62","177","528","https://pbs.twimg.com/media/EZSsLg8XsAMWlBP?format=jpg&name=small","","","1"
"","CNN Breaking News","May 30","Two NASA astronauts make history with their successful launch into space aboard a SpaceX rocket","281","1.5K","6.9K","https://pbs.twimg.com/media/EZShYx4WoAEfvJm?format=jpg&name=small","","","1"
"","CNN Breaking News","May 30","Four Atlanta Police Department officers were injured, one civilian was shot and authorities responded to several fires and looting across the city Friday night, officials say","99","156","434","https://pbs.twimg.com/media/EZSXr26XsAETumH?format=jpg&name=small","","","1"
