"listing_value","tweets_Name","tweets_Date","tweets_Text","tweets_Replies","tweets_Retweets","tweets_Likes","tweets_Images","tweets_imageURL","tweets_hrefURL","remove"
"","CNN Breaking News","49s","A senior State Department official recently tested positive for Covid-19 after returning from a diplomatic trip to Europe, an official says","1","14","22","","","","1"
"","Senior State Department official tested positive for Covid-19 after Europe trip, official says","","A senior State Department official recently tested positive for Covid-19 after returning from a diplomatic trip to Europe, an official says","1","14","22","","","","1"
"","A senior Trump administration official recently tested positive for Covid-19 after returning from a diplomatic trip to Europe, according to a State Department official familiar with the matter.","","A senior State Department official recently tested positive for Covid-19 after returning from a diplomatic trip to Europe, an official says","1","14","22","","","","1"
"","cnn.com","","A senior State Department official recently tested positive for Covid-19 after returning from a diplomatic trip to Europe, an official says","1","14","22","","","","1"
"","CNN Breaking News","56m","Supreme Court Justice Neil Gorsuch rejects an appeal by a Minnesota Republican to delay his congressional election until February","67","139","648","","","","1"
"","Gorsuch rejects appeal by Minnesota Republican to delay congressional election","","Supreme Court Justice Neil Gorsuch rejects an appeal by a Minnesota Republican to delay his congressional election until February","67","139","648","","","","1"
"","Supreme Court Justice Neil Gorsuch on Tuesday rejected an appeal from a Republican congressional candidate in Minnesota to delay that election until February.","","Supreme Court Justice Neil Gorsuch rejects an appeal by a Minnesota Republican to delay his congressional election until February","67","139","648","","","","1"
"","cnn.com","","Supreme Court Justice Neil Gorsuch rejects an appeal by a Minnesota Republican to delay his congressional election until February","67","139","648","","","","1"
"","CNN Breaking News","1h","A Michigan judge has struck down a ban on the open carry of firearms at polling places on Election Day","360","466","705","","","","1"
"","Michigan judge strikes down ban on open carry of guns at polling places on Election Day","","A Michigan judge has struck down a ban on the open carry of firearms at polling places on Election Day","360","466","705","","","","1"
"","A Michigan Court of Claims judge on Tuesday struck down Secretary of State Jocelyn Benson's directive that sought to ban the open carry of firearms at polling places on Election Day.","","A Michigan judge has struck down a ban on the open carry of firearms at polling places on Election Day","360","466","705","","","","1"
"","cnn.com","","A Michigan judge has struck down a ban on the open carry of firearms at polling places on Election Day","360","466","705","","","","1"
"","CNN Breaking News","2h","Keith Raniere, founder of the group Nxivm, has been sentenced to 120 years in prison","275","563","2.6K","","","","1"
"","Nxivm founder sentenced to the remainder of his life in prison","","Keith Raniere, founder of the group Nxivm, has been sentenced to 120 years in prison","275","563","2.6K","","","","1"
"","Keith Raniere, founder of the group Nxivm, has been sentenced to 120 years in prison.","","Keith Raniere, founder of the group Nxivm, has been sentenced to 120 years in prison","275","563","2.6K","","","","1"
"","cnn.com","","Keith Raniere, founder of the group Nxivm, has been sentenced to 120 years in prison","275","563","2.6K","","","","1"
"","CNN Breaking News","5h","Justice Amy Coney Barrett recited the judicial oath in a swearing-in ceremony administered by Chief Justice John Roberts","328","150","666","","","","1"
"","Associate Justice Amy Coney Barrett sworn in by Chief Justice Roberts","","Justice Amy Coney Barrett recited the judicial oath in a swearing-in ceremony administered by Chief Justice John Roberts","328","150","666","","","","1"
