,listing_value,tweets_Name,tweets_Date,tweets_Text,tweets_Replies,tweets_Retweets,tweets_Likes,tweets_Images,tweets_imageURL,tweets_hrefURL,remove
0,1.0,CNN Breaking News,"Dec 31, 2019","Syd Mead, the visionary artist who helped shape the look of ""Blade Runner"" and ""Blade Runner 2049,"" has died at 86",30,97,293,https://pbs.twimg.com/media/ENI-N6gXsAAhT98?format=jpg&name=small,,,1
1,1.0,CNN Breaking News,"Dec 31, 2019",The US is sending additional forces to protect its embassy in Baghdad after hundreds of protesters attempted to break in,179,193,494,https://pbs.twimg.com/media/ENIrjorWwAYZN_6?format=jpg&name=small,,,1
2,1.0,CNN Breaking News,"Dec 31, 2019","Book publishing legend Sonny Mehta, editor-in-chief of Knopf and chairman of the Knopf Doubleday Publishing Group, is dead at 77",28,74,205,https://pbs.twimg.com/media/ENINCjDWkAEYSAG?format=jpg&name=small,,,1
3,1.0,CNN Breaking News,"Dec 31, 2019","President Trump weighs in on protesters' attempts to storm the US Embassy in Baghdad, tweeting that ""Iran is orchestrating"" the attack. Follow live updates:",166,128,320,https://pbs.twimg.com/media/ENHk3n3WoAEHykK?format=jpg&name=small,,,1
4,1.0,CNN Breaking News,"Dec 31, 2019",Pro-Iranian protesters tried to storm the US embassy in Baghdad in demonstrations over strikes on an Iran-backed militia group in Iraq,77,101,199,https://pbs.twimg.com/media/ENHAO8aWkAAlJgS?format=jpg&name=small,,,1
5,1.0,CNN Breaking News,"Dec 31, 2019","Ex-Nissan CEO Carlos Ghosn, who had been awaiting trial in Japan, turned up in Lebanon, and said he will ""no longer be held hostage by a rigged Japanese justice system""",101,428,580,https://pbs.twimg.com/media/ENFyQamW4AAldfR?format=jpg&name=small,,,1
6,1.0,CNN Breaking News,"Dec 30, 2019","Anti-Semitic journal entries found at home of man accused in Hanukkah celebration stabbings, federal hate crime charges filed",78,144,320,https://pbs.twimg.com/media/ENDrELRXsAEDo7T?format=jpg&name=small,,,1
7,1.0,CNN Breaking News,"Dec 30, 2019","The security volunteer who fatally shot a gunman in a Texas church is identified as a reserve deputy named Jack Wilson. An official says Wilson was the only person who shot at the suspect, and he fired just once.",150,235,1.2K,https://pbs.twimg.com/media/ENDe7kFX0AIlt8d?format=jpg&name=small,,,1
8,1.0,CNN Breaking News,"Dec 30, 2019","Military authorities in Florida arrested a Chinese national for allegedly entering a restricted area at Naval Air Station Key West to take photos, court documents show",40,153,370,https://pbs.twimg.com/media/ENDaMQAWkAAe4la?format=jpg&name=small,,,1
9,1.0,CNN Breaking News,"Dec 30, 2019",The White House issues a readout of Sunday's call between Putin and Trump,266,126,332,https://pbs.twimg.com/media/ENDF4lWXsAcI-Re?format=jpg&name=small,,,1
10,1.0,CNN Breaking News,"Dec 30, 2019","The FDA can't prove that a key program meant to address opioid misuse and abuse actually worked, says a study involving more than 9,700 pages of documents",27,95,215,https://pbs.twimg.com/media/ENDEiHRWwAAWoan?format=jpg&name=small,,,1
11,1.0,CNN Breaking News,"Dec 30, 2019",Prominent human rights activist Gamal Eid says Egyptian security forces beat him up and doused him in paint,14,65,151,https://pbs.twimg.com/media/ENC1Dq3WwAAtp6v?format=jpg&name=small,,,1
12,1.0,CNN Breaking News,"Dec 30, 2019","Neil Innes, a writer, musician and ""Monty Python"" collaborator, has died at the age of 75",30,270,564,https://pbs.twimg.com/media/ENCoTV7XYAAZ-yC?format=jpg&name=small,,,1
13,1.0,CNN Breaking News,"Dec 29, 2019","Rep. John Lewis of Georgia, a civil rights icon, has stage 4 pancreatic cancer and will undergo treatment, his office says",476,1.3K,2.6K,https://pbs.twimg.com/media/EM_ZphNWwAEg5My?format=jpg&name=small,,,1
14,1.0,CNN Breaking News,"Dec 29, 2019","A victim and the suspected Texas church shooter died en route to the hospital, MedStar Mobile Healthcare spokeswoman says",86,145,264,https://pbs.twimg.com/media/EM-wxamWkAA4aXC?format=jpg&name=small,,,1
15,1.0,CNN Breaking News,"Dec 29, 2019",Three people are in critical condition after a church shooting in Texas. Officials believe the suspect is among the injured.,119,360,425,https://pbs.twimg.com/media/EM-frbaX0AI2Sj3?format=jpg&name=small,,,1
16,1.0,CNN Breaking News,"Dec 29, 2019","The US conducted strikes against five facilities tied to an Iran-backed militia group in Iraq and Syria, saying the group targeted Americans",43,148,337,https://pbs.twimg.com/media/EM-fTzIWoAE9zQG?format=jpg&name=small,,,1
