"listing_value","tweets_Name","tweets_Date","tweets_Replies","tweets_Retweets","tweets_Likes","tweets_Images","tweets_Text","tweets_imageURL","tweets_hrefURL","remove"
"","CNN Breaking News","Apr 10, 2015","38","404","333","https://pbs.twimg.com/media/CCQuCyHVEAAHLga?format=jpg&name=small","Tornado that killed 2 in Fairdale, Illinois, a preliminary EF-4 with winds of 166-200 mph. http://cnn.it/1OhMLD2","","","1"
"","CNN Breaking News","Apr 10, 2015","64","451","407","https://pbs.twimg.com/card_img/1337148238072168449/TonuUjCo?format=jpg&name=small","10 California deputies suspended after video shows suspect being beaten, kicked after chase.","https://pbs.twimg.com/card_img/1337148238072168449/TonuUjCo?format=jpg&name=small","http://t.co/XXPmaTGfV0?amp=1","1"
"","10 California deputies suspended after beating man - CNN","","64","451","407","https://pbs.twimg.com/card_img/1337148238072168449/TonuUjCo?format=jpg&name=small","10 California deputies suspended after video shows suspect being beaten, kicked after chase.","https://pbs.twimg.com/card_img/1337148238072168449/TonuUjCo?format=jpg&name=small","http://t.co/XXPmaTGfV0?amp=1","1"
"","The FBI will investigate whether civil rights were violated during the videotaped beating of a California suspect who allegedly fled police.","","64","451","407","https://pbs.twimg.com/card_img/1337148238072168449/TonuUjCo?format=jpg&name=small","10 California deputies suspended after video shows suspect being beaten, kicked after chase.","https://pbs.twimg.com/card_img/1337148238072168449/TonuUjCo?format=jpg&name=small","http://t.co/XXPmaTGfV0?amp=1","1"
"","cnn.com","","64","451","407","https://pbs.twimg.com/card_img/1337148238072168449/TonuUjCo?format=jpg&name=small","10 California deputies suspended after video shows suspect being beaten, kicked after chase.","https://pbs.twimg.com/card_img/1337148238072168449/TonuUjCo?format=jpg&name=small","http://t.co/XXPmaTGfV0?amp=1","1"
"","CNN Breaking News","Apr 10, 2015","35","310","276","https://pbs.twimg.com/card_img/1337279812210143233/KpN0CH0b?format=jpg&name=small","Army recruit charged with trying to detonate car bomb at Fort Riley in Kansas.","https://pbs.twimg.com/card_img/1337279812210143233/KpN0CH0b?format=jpg&name=small","http://t.co/ANTYaofobC?amp=1","1"
"","Man accused of trying to set off bomb at Fort Riley - CNN","","35","310","276","https://pbs.twimg.com/card_img/1337279812210143233/KpN0CH0b?format=jpg&name=small","Army recruit charged with trying to detonate car bomb at Fort Riley in Kansas.","https://pbs.twimg.com/card_img/1337279812210143233/KpN0CH0b?format=jpg&name=small","http://t.co/ANTYaofobC?amp=1","1"
"","A former U.S. Army recruit who wanted to engage in jihad has been charged with trying to detonate a car bomb at Fort Riley army base, authorities said.","","35","310","276","https://pbs.twimg.com/card_img/1337279812210143233/KpN0CH0b?format=jpg&name=small","Army recruit charged with trying to detonate car bomb at Fort Riley in Kansas.","https://pbs.twimg.com/card_img/1337279812210143233/KpN0CH0b?format=jpg&name=small","http://t.co/ANTYaofobC?amp=1","1"
"","cnn.com","","35","310","276","https://pbs.twimg.com/card_img/1337279812210143233/KpN0CH0b?format=jpg&name=small","Army recruit charged with trying to detonate car bomb at Fort Riley in Kansas.","https://pbs.twimg.com/card_img/1337279812210143233/KpN0CH0b?format=jpg&name=small","http://t.co/ANTYaofobC?amp=1","1"
"","CNN Breaking News","Apr 10, 2015","29","212","290","https://pbs.twimg.com/card_img/1337279814089240577/dAuV1sON?format=jpg&name=small","Secret Service officer arrested by D.C. police, to be charged with destruction of property.","https://pbs.twimg.com/card_img/1337279814089240577/dAuV1sON?format=jpg&name=small","http://t.co/QynuqVCUPo?amp=1","1"
"","Secret Service officer charged with burglary attempt - CNNPolitics","","29","212","290","https://pbs.twimg.com/card_img/1337279814089240577/dAuV1sON?format=jpg&name=small","Secret Service officer arrested by D.C. police, to be charged with destruction of property.","https://pbs.twimg.com/card_img/1337279814089240577/dAuV1sON?format=jpg&name=small","http://t.co/QynuqVCUPo?amp=1","1"
"","An off-duty member of the Uniformed Division of Secret Service has been charged with first-degree attempted burglary and destruction of property.","","29","212","290","https://pbs.twimg.com/card_img/1337279814089240577/dAuV1sON?format=jpg&name=small","Secret Service officer arrested by D.C. police, to be charged with destruction of property.","https://pbs.twimg.com/card_img/1337279814089240577/dAuV1sON?format=jpg&name=small","http://t.co/QynuqVCUPo?amp=1","1"
"","cnn.com","","29","212","290","https://pbs.twimg.com/card_img/1337279814089240577/dAuV1sON?format=jpg&name=small","Secret Service officer arrested by D.C. police, to be charged with destruction of property.","https://pbs.twimg.com/card_img/1337279814089240577/dAuV1sON?format=jpg&name=small","http://t.co/QynuqVCUPo?amp=1","1"
"","CNN Breaking News","Apr 10, 2015","22","390","353","https://pbs.twimg.com/card_img/1335958182477393920/jEARHYPo?format=jpg&name=small","Obama, Castro spoke by phone ahead of Panama summit, White House official says.","https://pbs.twimg.com/card_img/1335958182477393920/jEARHYPo?format=jpg&name=small","http://t.co/VHcEpZ5kcJ?amp=1","1"
"","Obama, Castro finally meet face-to-face - CNNPolitics","","22","390","353","https://pbs.twimg.com/card_img/1335958182477393920/jEARHYPo?format=jpg&name=small","Obama, Castro spoke by phone ahead of Panama summit, White House official says.","https://pbs.twimg.com/card_img/1335958182477393920/jEARHYPo?format=jpg&name=small","http://t.co/VHcEpZ5kcJ?amp=1","1"
"","President Obama briefly met Cuban President Raul Castro on Friday night at a dinner for the dozens of Latin American leaders convening in Panama City.","","22","390","353","https://pbs.twimg.com/card_img/1335958182477393920/jEARHYPo?format=jpg&name=small","Obama, Castro spoke by phone ahead of Panama summit, White House official says.","https://pbs.twimg.com/card_img/1335958182477393920/jEARHYPo?format=jpg&name=small","http://t.co/VHcEpZ5kcJ?amp=1","1"
"","cnn.com","","22","390","353","https://pbs.twimg.com/card_img/1335958182477393920/jEARHYPo?format=jpg&name=small","Obama, Castro spoke by phone ahead of Panama summit, White House official says.","https://pbs.twimg.com/card_img/1335958182477393920/jEARHYPo?format=jpg&name=small","http://t.co/VHcEpZ5kcJ?amp=1","1"
"","CNN Breaking News","Apr 10, 2015","112","1.8K","1.7K","https://pbs.twimg.com/media/CCOzOQVUAAAaf8u?format=jpg&name=small","Lauren Hill, who realized dream of playing college basketball despite cancer diagnosis, dies. http://cnn.it/1chyvwr","","","1"
"","CNN Breaking News","Apr 10, 2015","130","1.4K","1.4K","","Hillary Clinton is expected to formally announce her candidacy for the White House on Sunday in a video, source close to campaign says.","","","1"
"","CNN Breaking News","Apr 10, 2015","19","185","234","https://pbs.twimg.com/card_img/1336594232946151425/W7rmBK9h?format=jpg&name=small","2 people killed, 12 hurt when car explodes in central Baghdad, Iraq, officials say.","https://pbs.twimg.com/card_img/1336594232946151425/W7rmBK9h?format=jpg&name=small","http://t.co/u6HuQvjXyb?amp=1","1"
